"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"856","Filip Zadina","DET","R","9","20.85","1","1","0","1","2","66.67","7","14.29","0.5","14","8","3","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","100.00"
"867","Juuso Riikola","PIT","D","40","40.666666666667","2","0","0","0","2","50.00","7","28.57","0.52","12","8","4","1","0","0","0","0","0","0","0","0","3","1","1","0","1","0","0","-"
"868","Dominik Kahun","CHI, PIT","C","93","96.933333333333","1","1","0","1","2","50.00","9","11.11","1.36","14","10","11","4","1","0","2","1","1","0","0","1","1","0","1","3","1","4","7","36.36"
"880","Jack Hughes","N.J","C","9","30.883333333333","2","0","0","0","2","66.67","7","28.57","0.5","11","7","6","0","0","0","0","0","0","0","0","1","3","0","0","0","0","11","11","50.00"
"66","Andrej Sekera","DAL, EDM","D","36","15.216666666667","0","1","0","1","1","100.00","2","0.00","0.1","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"68","Ryan Callahan","T.B","R","52","4.7666666666667","1","0","0","0","1","100.00","1","100.00","0.13","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"79","Martin Hanzal","DAL","C","7","13.466666666667","1","0","0","0","1","33.33","4","25.00","0.66","4","4","4","4","0","1","0","0","0","0","0","0","1","0","1","0","0","2","3","40.00"
"81","Andrew Cogliano","ANA, DAL","C, L","90","5.4166666666667","1","0","0","0","1","100.00","2","50.00","0.47","3","2","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"84","Marc-Edouard Vlasic","S.J","D","83","58.766666666667","0","1","1","0","1","14.29","10","0.00","0.94","15","12","6","1","0","1","0","0","0","0","0","2","0","2","1","0","4","0","0","-"
"96","Anton Stralman","FLA, T.B","D","57","4.75","0","1","0","1","1","100.00","0","-","0.07","1","1","1","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"99","Andy Greene","N.J","D","87","8.5833333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"102","Alex Biega","DET, VAN","D","43","3.35","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"109","Jamie McGinn","FLA","L","19","20","1","0","0","0","1","50.00","2","50.00","0.41","4","3","3","2","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","-"
"140","Justin Braun","PHI, S.J","D","86","8.8666666666667","0","1","1","0","1","100.00","0","-","0","1","0","0","0","0","0","5","1","0","1","0","0","0","0","0","0","0","0","0","-"
