id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
521,Jean-Sebastien Dea,BUF,C,3,22.366666666667,0,0,0,0,0,-,0,-,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,50.00
522,Ross Johnston,NYI,L,32,252.91666666667,3,1,1,0,4,50.00,16,18.75,2.59,25,22,23,16,0,2,46,13,8,4,1,6,4,2,93,22,14,1,0,100.00
523,Colby Cave,EDM,C,11,94.866666666667,1,0,0,0,1,100.00,5,20.00,0.43,12,8,7,3,0,0,4,2,2,0,0,1,1,2,15,9,3,32,33,49.23
524,Dakota Mermis,N.J,D,4,62.183333333333,0,1,0,1,1,25.00,7,0.00,0.21,14,9,3,0,0,2,2,1,1,0,0,0,3,1,3,10,4,0,0,-
525,Nathan Walker,STL,L,5,55.15,1,1,1,0,2,100.00,6,16.67,0.49,10,8,6,1,0,0,4,2,2,0,0,0,1,0,10,4,1,1,0,100.00
526,Joel Hanley,DAL,D,8,87.15,0,2,1,1,2,50.00,4,0.00,0.08,10,7,0,0,0,1,4,2,2,0,0,0,5,0,3,6,8,0,0,-
527,Conor Sheary,"BUF, PIT",L,56,645.63333333333,8,8,5,3,16,64.00,79,10.13,7.1,126,107,79,31,6,5,2,1,1,0,0,9,14,16,26,43,23,1,3,25.00
528,Trevor van Riemsdyk,CAR,D,43,582.45,1,6,2,4,7,35.00,49,2.04,1.15,98,66,17,2,0,9,2,1,1,0,0,2,14,12,15,29,29,0,0,-
529,Ryan Carpenter,CHI,C,63,710.06666666667,2,9,4,5,11,52.38,66,3.03,7.5,106,92,72,46,2,6,12,6,6,0,0,9,23,23,100,71,29,204,241,45.84
530,Christian Folin,MTL,D,11,154.71666666667,1,1,0,1,2,28.57,9,11.11,0.17,24,13,6,2,2,0,4,2,2,0,0,0,5,1,27,28,12,0,0,-
531,Jordan Oesterle,ARI,D,54,801.8,2,6,4,2,8,38.10,55,3.64,1.99,130,87,17,1,1,11,12,6,6,0,0,5,28,10,41,92,72,0,0,-
532,Patrick Brown,VGK,C,1,9.5833333333333,1,0,0,0,1,100.00,2,50.00,0.38,3,2,1,1,0,0,0,0,0,0,0,0,1,0,6,3,0,0,0,-
533,Daniel Carr,NSH,L,11,110.71666666667,1,0,0,0,1,25.00,13,7.69,0.91,21,18,11,6,0,0,4,2,2,0,0,3,1,8,10,15,2,0,1,0.00
