id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
647,Luke Kunin,MIN,C,63,83.983333333333,1,0,0,0,1,100.00,4,25.00,0.33,6,5,4,2,0,0,2,1,1,0,0,2,1,2,1,0,7,18,41,30.51
648,Auston Matthews,TOR,C,70,3.1666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.67
649,Adam Fox,NYR,D,70,11.483333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,-
650,Ryan Lindgren,NYR,D,60,121.38333333333,0,0,0,0,0,-,4,0.00,0.2,5,5,2,2,1,0,4,2,2,0,0,7,6,5,10,5,16,0,0,-
651,Charlie McAvoy,BOS,D,67,119.06666666667,0,1,1,0,1,25.00,1,0.00,0.04,1,1,1,0,0,0,0,0,0,0,0,2,5,1,9,3,15,0,0,-
652,Julien Gauthier,"CAR, NYR",R,17,0.51666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
653,Libor Hajek,NYR,D,28,24.816666666667,0,0,0,0,0,-,1,0.00,0.01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,-
654,Rasmus Asplund,BUF,C,29,51.516666666667,0,1,1,0,1,100.00,6,0.00,0.62,8,8,5,3,1,0,0,0,0,0,0,0,1,1,2,0,2,16,12,57.14
655,Carl Grundstrom,L.A,R,13,0.38333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
656,Alex DeBrincat,CHI,"L, R",70,4.3166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
657,Patrik Laine,WPG,R,68,0.23333333333333,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
658,Clayton Keller,ARI,"C, R",70,1.8833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
659,Jakob Chychrun,ARI,D,63,92.85,0,0,0,0,0,-,3,0.00,0.13,5,4,2,1,0,1,0,0,0,0,0,2,5,0,5,1,7,0,0,-
660,Dillon Dube,CGY,C,45,6.6666666666667,0,0,0,0,0,-,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
661,Sam Steel,ANA,C,65,22.816666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,13,31.58
662,Brett Howden,NYR,C,70,132.28333333333,0,2,2,0,2,100.00,1,0.00,0.08,2,1,2,1,0,0,0,0,0,0,0,2,2,12,5,5,16,41,34,54.67
663,Carsen Twarynski,PHI,L,15,3.8333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
664,Beck Malenstyn,WSH,L,3,4.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
665,Tim Gettinger,NYR,L,2,0.41666666666667,0,0,0,0,0,-,1,0.00,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
666,Logan Brown,OTT,C,23,0.86666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.00
667,Max Jones,ANA,L,59,43.383333333333,1,0,0,0,1,50.00,5,20.00,0.64,7,7,4,3,1,1,0,0,0,0,0,1,0,1,2,1,1,1,0,100.00
668,Andrew Peeke,CBJ,D,22,6.3666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-
669,Tyson Jost,COL,C,67,18.783333333333,0,0,0,0,0,-,0,-,0,1,0,1,0,1,0,2,1,1,0,0,0,0,1,1,0,4,2,2,50.00
670,Dante Fabbro,NSH,D,64,32.266666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,3,0,0,-
671,Josh Mahura,ANA,D,11,0.85,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
672,Victor Mete,MTL,D,51,31.75,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,-
673,Nick Caamano,DAL,R,12,1.8833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
