id,team_name,gp,toi,w,l,otl,row,points,point_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
22,Colorado Avalanche,70,330.7167,42,20,8,41,92,0.657,70,565,11.02,60,405,12.90,55,298,15.58,8,37,17.78,3.42,36.17,8.64,30,284,9.55,21,162,11.48,5,29,14.71,23.81,82.10,11,123,8.21,10,88,10.20,4,19,17.39,40.00,78.41,19,161,10.56,11,74,12.94,1,10,9.09,9.09,86.49,19,266,6.67,16,133,10.74,3,8,27.27,18.75,93.98,14.55,87.58,1.021
23,Arizona Coyotes,70,309.0167,33,29,8,28,74,0.529,98,466,17.38,90,370,19.57,80,279,22.28,3,32,8.57,5.36,32.04,14.33,47,244,16.15,39,164,19.21,2,31,6.06,5.13,81.10,25,105,19.23,23,75,23.47,2,22,8.33,8.70,70.67,22,139,13.66,16,89,15.24,0,9,0.00,0.00,89.89,20,211,8.66,15,114,11.63,1,1,50.00,6.67,99.12,3.75,88.53,0.923
24,Anaheim Ducks,71,331.3667,29,33,9,24,67,0.472,100,471,17.51,89,371,19.35,72,276,20.69,10,42,19.23,5.91,34.01,14.79,52,272,16.05,44,178,19.82,10,34,22.73,22.73,80.90,25,115,17.86,22,89,19.82,9,18,33.33,40.91,79.78,27,157,14.67,22,89,19.82,1,16,5.88,4.55,82.02,21,193,9.81,9,97,8.49,0,7,0.00,0.00,92.78,13.89,84.78,0.987
25,New Jersey Devils,69,351.1167,28,29,12,24,68,0.493,123,483,20.30,110,372,22.82,87,272,24.23,9,36,20.00,8.42,31.74,20.97,72,245,22.71,51,156,24.64,9,29,23.68,17.65,81.41,40,85,32.00,29,66,30.53,7,20,25.93,24.14,69.70,32,160,16.67,22,90,19.64,2,9,18.18,9.09,90.00,23,227,9.20,12,113,9.60,0,7,0.00,0.00,93.81,10.34,86.76,0.971
26,New York Islanders,68,278.5,35,23,10,32,80,0.588,59,477,11.01,54,327,14.17,47,233,16.79,5,28,15.15,3.94,29.01,11.96,37,270,12.05,30,146,17.05,5,21,19.23,16.67,85.62,24,89,21.24,23,65,26.14,5,14,26.32,21.74,78.46,13,181,6.70,7,81,7.95,0,7,0.00,0.00,91.36,10,195,4.88,6,86,6.52,0,7,0.00,0.00,91.86,10.64,87.98,0.986
27,Columbus Blue Jackets,70,278.3,33,22,15,33,81,0.579,73,381,16.08,65,292,18.21,53,218,19.56,1,26,3.70,3.47,23.76,12.74,32,196,14.04,25,118,17.48,1,13,7.14,4.00,88.98,14,63,18.18,13,46,22.03,0,6,0.00,0.00,86.96,18,133,11.92,12,72,14.29,1,7,12.50,8.33,90.28,20,178,10.10,8,99,7.48,0,13,0.00,0.00,86.87,1.89,88.07,0.900
28,Chicago Blackhawks,70,333.2333,32,30,8,28,72,0.514,68,525,11.47,61,397,13.32,55,307,15.19,5,34,12.82,4.97,33.37,12.97,40,280,12.50,34,171,16.59,4,25,13.79,11.76,85.38,23,104,18.11,19,82,18.81,4,14,22.22,21.05,82.93,17,176,8.81,15,89,14.42,0,11,0.00,0.00,87.64,16,233,6.43,10,134,6.94,1,9,10.00,10.00,93.28,9.09,88.93,0.980
29,Philadelphia Flyers,69,329.7,41,21,7,36,89,0.645,101,399,20.20,92,304,23.23,79,218,26.60,6,36,14.29,5.8,30.37,16.03,47,218,17.74,38,137,21.71,6,30,16.67,15.79,78.10,21,102,17.07,19,77,19.79,5,19,20.83,26.32,75.32,26,116,18.31,19,60,24.05,1,11,8.33,5.26,81.67,22,169,11.52,11,79,12.22,0,6,0.00,0.00,92.41,7.59,83.49,0.911
30,Detroit Red Wings,71,352.6,17,49,5,14,39,0.275,84,586,12.54,77,467,14.15,70,355,16.47,4,54,6.90,5.08,44.5,10.24,35,306,10.26,31,199,13.48,4,44,8.33,12.90,77.89,23,164,12.30,22,123,15.17,4,32,11.11,18.18,73.98,12,142,7.79,9,76,10.59,0,12,0.00,0.00,84.21,23,268,7.90,14,153,8.38,0,10,0.00,0.00,93.46,5.71,84.79,0.905
31,Los Angeles Kings,70,305.85,29,35,6,28,64,0.457,79,487,13.96,66,369,15.17,61,256,19.24,5,41,10.87,3.02,32,8.62,26,248,9.49,23,149,13.37,5,34,12.82,21.74,77.18,14,90,13.46,13,59,18.06,4,16,20.00,30.77,72.88,12,158,7.06,10,90,10.00,1,18,5.26,10.00,80.00,18,232,7.20,7,106,6.19,0,7,0.00,0.00,93.40,8.20,83.98,0.922
