"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"60","Malcolm Subban","VGK","23","1088.7833333333","553","505","48","0.913","2.65","-3.25","37.23","130","109","21","0.838","1.16","1.51","166","147","19","0.886","1.05","-4.11","224","218","6","0.973","0.33","0.35","38","55","36.80","29.79"
"77","Alex Nedeljkovic","CAR","1","45.983333333333","23","21","2","0.913","2.61","-0.14","1.12","2","0","2","0.000","2.61","-1.65","7","7","0","1.000","0.00","0.63","13","13","0","1.000","0.00","0.37","0","2","43.87","14.00"
"24","Alex Stalock","MIN","29","1168.7333333333","547","499","48","0.912","2.46","-3.73","40.61","127","99","28","0.780","1.44","-6.01","129","117","12","0.907","0.62","-0.43","256","248","8","0.969","0.41","-0.75","29","60","39.16","21.50"
"27","Jonathan Bernier","DET","44","1920.6166666667","1011","922","89","0.912","2.78","-7.18","76.58","275","232","43","0.844","1.34","4.62","255","232","23","0.910","0.72","-0.13","431","408","23","0.947","0.72","-10.79","46","112","36.60","25.25"
"49","Louis Domingue","T.B","26","1236.6333333333","603","550","53","0.912","2.57","-4.20","43.31","147","116","31","0.789","1.50","-5.54","186","168","18","0.903","0.87","-1.32","243","239","4","0.984","0.19","2.88","38","65","37.37","23.43"
"54","Garret Sparks","TOR, VGK","21","963.98333333333","524","478","46","0.912","2.86","-3.59","38.2","128","108","20","0.844","1.24","2.17","143","126","17","0.881","1.06","-4.18","225","216","9","0.960","0.56","-2.63","21","43","37.00","26.57"
"26","James Reimer","CAR, FLA","42","1670.45","856","780","76","0.911","2.73","-6.73","64.31","224","175","49","0.781","1.76","-10.21","214","194","20","0.907","0.72","-0.81","368","361","7","0.981","0.25","3.42","47","102","37.03","19.58"
"44","Cam Talbot","CGY, EDM, PHI","40","1764.3166666667","912","830","82","0.910","2.79","-8.19","71.1","234","189","45","0.808","1.53","-4.48","221","203","18","0.919","0.61","1.82","403","384","19","0.953","0.65","-7.58","48","115","37.31","23.87"
"6","Mike Smith","CGY, EDM","51","2313.3333333333","1046","951","95","0.909","2.46","-10.35","80.08","304","251","53","0.826","1.37","-0.36","272","243","29","0.893","0.75","-4.61","387","374","13","0.966","0.34","-2.04","72","107","36.88","21.84"
"71","Marcus Hogberg","OTT","4","172.36666666667","99","90","9","0.909","3.13","-0.99","7.86","28","25","3","0.893","1.04","1.85","17","13","4","0.765","1.39","-2.48","49","47","2","0.959","0.70","-0.61","7","12","37.44","25.11"
"83","Joey Daccord","OTT","1","47.716666666667","33","30","3","0.909","3.77","-0.33","1.91","7","5","2","0.714","2.51","-0.79","7","7","0","1.000","0.00","0.63","17","16","1","0.941","1.26","-0.52","2","2","39.76","24.33"
"2","Craig Anderson","OTT","59","2652.4333333333","1534","1393","141","0.908","3.19","-16.86","113.85","393","319","74","0.812","1.67","-5.94","365","319","46","0.874","1.04","-13.27","723","703","20","0.972","0.45","0.48","72","207","36.72","22.82"
"1","Roberto Luongo","FLA","43","1906.0166666667","994","901","93","0.906","2.93","-12.56","76.55","263","207","56","0.787","1.76","-10.46","241","215","26","0.892","0.82","-4.39","419","409","10","0.976","0.31","1.87","58","106","37.84","20.38"
"52","Keith Kinkaid","MTL, N.J","44","1956.7833333333","1026","926","100","0.903","3.07","-16.97","77.79","235","187","48","0.796","1.47","-7.30","305","277","28","0.908","0.86","-0.65","431","408","23","0.947","0.71","-10.79","48","100","37.42","25.50"
"16","Cory Schneider","N.J","31","1301.5833333333","697","629","68","0.902","3.13","-11.59","50.55","165","130","35","0.788","1.61","-6.43","191","171","20","0.895","0.92","-2.87","315","303","12","0.962","0.55","-3.08","37","68","35.74","24.44"
"32","Antti Niemi","MTL","17","800.48333333333","422","380","42","0.900","3.15","-7.85","28.72","102","78","24","0.765","1.80","-6.34","95","83","12","0.874","0.90","-3.48","200","194","6","0.970","0.45","-0.33","26","34","39.33","22.98"
"78","Elvis Merzlikins","CBJ","4","172.13333333333","90","81","9","0.900","3.14","-1.72","6.32","25","21","4","0.840","1.39","0.33","24","19","5","0.792","1.74","-2.85","36","36","0","1.000","0.00","1.02","3","5","32.71","24.56"
"82","Adin Hill","ARI","13","544.06666666667","261","235","26","0.900","2.87","-4.88","21.07","70","54","16","0.771","1.76","-3.88","66","60","6","0.909","0.66","-0.08","110","107","3","0.973","0.33","0.12","7","42","37.05","26.31"
"93","Kaden Fulcher","DET","1","24.316666666667","10","9","1","0.900","2.47","-0.19","0.74","2","2","0","1.000","0.00","0.35","2","1","1","0.500","2.47","-0.82","6","6","0","1.000","0.00","0.17","0","0","31.70","19.00"
"46","Calvin Pickard","ARI, PHI","17","608.1","305","274","31","0.898","3.06","-6.32","24.55","92","71","21","0.772","2.07","-5.07","58","52","6","0.897","0.59","-0.80","144","140","4","0.972","0.39","0.08","17","38","34.76","19.55"
"35","Michael Hutchinson","FLA, TOR","14","606.81666666667","320","287","33","0.897","3.26","-7.10","23.05","77","60","17","0.779","1.68","-3.67","85","72","13","0.847","1.29","-5.38","147","144","3","0.980","0.30","1.16","18","33","36.25","21.18"
"22","Jonathan Quick","L.A","55","2596.5833333333","1270","1138","132","0.896","3.05","-29.22","100.84","342","266","76","0.778","1.76","-16.77","319","282","37","0.884","0.85","-8.39","540","522","18","0.967","0.42","-2.70","49","172","36.52","23.54"
"67","Aaron Dell","S.J","31","1293.5","594","532","62","0.896","2.88","-13.93","48.17","174","137","37","0.787","1.72","-6.87","174","155","19","0.891","0.88","-3.39","216","210","6","0.972","0.28","0.12","36","66","34.14","18.89"
"80","Sam Montembeault","FLA","15","657.55","311","278","33","0.894","3.01","-7.83","25.94","95","72","23","0.758","2.10","-6.55","67","60","7","0.896","0.64","-0.99","138","135","3","0.978","0.27","0.91","16","55","37.21","21.82"
"37","Martin Jones","S.J","74","3409.9333333333","1553","1386","167","0.892","2.94","-41.32","125.81","470","370","100","0.787","1.76","-18.61","401","361","40","0.900","0.70","-4.04","592","565","27","0.954","0.48","-10.23","82","181","35.53","23.34"
