id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
44,Anton Forsberg,CAR,3,114.81666666667,69,61,8,0.884,4.18,-2.40,5.26,21,16,5,0.762,2.61,-1.30,17,15,2,0.882,1.05,-0.52,26,25,1,0.962,0.52,-0.25,6,10,36.93,21.13
45,Garret Sparks,VGK,1,21.4,10,9,1,0.900,2.80,-0.19,0.38,0,0,0,-,0.00,0.00,3,2,1,0.667,2.80,-0.74,7,7,0,1.000,0.00,0.20,0,1,45.80,30.00
46,Jordan Binnington,STL,50,2366.7166666667,1092,1008,84,0.923,2.13,4.63,85.93,311,269,42,0.865,1.06,12.84,305,280,25,0.918,0.63,1.60,423,406,17,0.960,0.43,-4.83,63,133,35.28,21.54
47,John Gibson,ANA,51,2412.1,1273,1164,109,0.914,2.71,-5.68,102.93,347,284,63,0.818,1.57,-1.81,359,324,35,0.903,0.87,-3.69,518,507,11,0.979,0.27,3.90,72,151,34.16,19.15
48,Oscar Dansk,VGK,1,43.966666666667,27,23,4,0.852,5.46,-1.81,1.77,6,4,2,0.667,2.73,-0.94,6,5,1,0.833,1.36,-0.48,10,9,1,0.900,1.36,-0.71,0,2,39.67,22.50
49,Malcolm Subban,"CHI, VGK",21,920.98333333333,424,382,42,0.901,2.74,-7.59,34.47,129,104,25,0.806,1.63,-2.25,96,89,7,0.927,0.46,1.37,186,176,10,0.946,0.65,-4.65,14,51,32.61,20.24
50,Andrei Vasilevskiy,T.B,52,2468.8166666667,1217,1128,89,0.927,2.16,9.77,83.39,301,254,47,0.844,1.14,6.08,353,323,30,0.915,0.73,0.79,508,496,12,0.976,0.29,2.61,72,129,36.89,23.03
51,Matt Murray,PIT,38,1790.85,837,757,80,0.904,2.68,-12.07,62.07,233,193,40,0.828,1.34,1.09,224,197,27,0.879,0.90,-7.46,335,324,11,0.967,0.37,-1.37,43,90,35.44,25.01
52,Chris Driedger,FLA,12,525.43333333333,282,267,15,0.947,1.71,7.89,21.01,80,71,9,0.888,1.03,5.11,71,66,5,0.930,0.57,1.19,114,113,1,0.991,0.11,2.28,15,22,34.80,21.07
53,Joonas Korpisalo,CBJ,37,1693.8,792,733,59,0.926,2.09,5.28,55.29,188,157,31,0.835,1.10,2.15,199,178,21,0.894,0.74,-3.64,359,352,7,0.981,0.25,3.32,43,82,38.67,20.24
54,Anthony Stolarz,ANA,1,53.133333333333,29,29,0,1.000,0.00,2.35,1.72,3,3,0,1.000,0.00,0.53,8,8,0,1.000,0.00,0.70,14,14,0,1.000,0.00,0.40,2,2,47.38,-
55,Connor Hellebuyck,WPG,58,2701,1458,1354,104,0.929,2.31,14.33,115.62,412,347,65,0.842,1.44,7.65,362,338,24,0.934,0.53,7.57,621,607,14,0.977,0.31,3.86,51,186,35.10,19.36
56,Linus Ullmark,BUF,34,1627.5833333333,829,771,58,0.930,2.14,9.28,56.27,197,157,40,0.797,1.47,-5.26,228,215,13,0.943,0.48,6.89,367,362,5,0.986,0.18,5.55,37,65,36.43,17.52
57,Aaron Dell,S.J,33,1508,779,710,69,0.911,2.75,-5.78,61.65,230,190,40,0.826,1.59,0.56,221,197,24,0.891,0.95,-4.73,273,268,5,0.982,0.20,2.85,57,94,36.11,19.52
58,Antti Raanta,ARI,33,1447.1666666667,800,739,61,0.924,2.53,3.93,60.16,200,158,42,0.790,1.74,-6.73,190,178,12,0.937,0.50,4.57,369,362,7,0.981,0.29,3.61,34,109,37.09,17.61
59,Antoine Bibeau,COL,2,61.05,27,27,0,1.000,0.00,2.19,2.99,8,8,0,1.000,0.00,1.41,7,7,0,1.000,0.00,0.61,10,10,0,1.000,0.00,0.29,0,3,33.37,-
60,Cal Petersen,L.A,8,383.6,210,193,17,0.919,2.66,0.04,17.7,53,43,10,0.811,1.56,-0.65,69,63,6,0.913,0.94,0.02,78,77,1,0.987,0.16,1.24,4,29,33.20,16.76
61,Marcus Hogberg,OTT,24,1093.85,585,536,49,0.916,2.69,-1.52,45.47,157,125,32,0.796,1.76,-4.31,144,133,11,0.924,0.60,1.56,260,254,6,0.977,0.33,1.48,34,80,36.57,18.00
62,Juuse Saros,NSH,40,1720.9833333333,882,811,71,0.920,2.48,0.58,65.01,233,186,47,0.798,1.64,-5.91,230,216,14,0.939,0.49,6.06,374,366,8,0.979,0.28,2.76,44,92,34.80,20.23
63,Tristan Jarry,PIT,33,1566.1333333333,794,736,58,0.927,2.22,6.44,55.5,197,158,39,0.802,1.49,-4.26,198,186,12,0.939,0.46,5.27,348,341,7,0.980,0.27,3.01,46,79,38.02,19.10
64,Eric Comrie,DET,3,102.25,51,44,7,0.863,4.11,-2.86,4.63,17,12,5,0.706,2.93,-2.00,14,12,2,0.857,1.17,-0.78,18,18,0,1.000,0.00,0.52,2,7,32.86,15.14
65,Thatcher Demko,VAN,27,1223.9833333333,641,582,59,0.908,2.89,-6.98,50.47,170,132,38,0.776,1.86,-8.02,202,187,15,0.926,0.74,2.62,246,240,6,0.976,0.29,1.07,45,72,35.10,19.37
66,Alex Nedeljkovic,CAR,4,170.15,75,67,8,0.893,2.82,-1.91,5.82,23,18,5,0.783,1.76,-0.94,22,19,3,0.864,1.06,-1.08,26,26,0,1.000,0.00,0.75,4,10,35.75,15.25
67,Jonas Johansson,BUF,6,274.98333333333,129,116,13,0.899,2.84,-2.53,9.58,36,30,6,0.833,1.31,0.35,29,23,6,0.793,1.31,-3.47,60,59,1,0.983,0.22,0.73,6,13,34.28,23.85
68,Elvis Merzlikins,CBJ,32,1516.8166666667,784,730,54,0.931,2.14,9.63,53.8,161,136,25,0.845,0.99,3.39,214,191,23,0.893,0.91,-4.34,360,354,6,0.983,0.24,4.35,34,79,38.19,21.09
69,Kaapo Kahkonen,MIN,5,255.36666666667,148,139,9,0.939,2.11,3.01,8.26,27,21,6,0.778,1.41,-1.24,37,34,3,0.919,0.70,0.23,81,81,0,1.000,0.00,2.33,3,9,37.61,18.00
70,Igor Shesterkin,NYR,12,564.76666666667,335,312,23,0.931,2.44,4.19,24.74,91,78,13,0.857,1.38,3.05,67,61,6,0.910,0.64,-0.16,162,158,4,0.975,0.42,0.66,14,38,35.02,21.13
