"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"632","Aaron Ekblad","FLA","D","103","1891.75","10","22","10","12","32","31.07","172","5.81","7.56","299","224","87","23","6","23","26","13","13","0","0","12","122","50","106","121","92","0","0","-"
"648","Travis Sanheim","PHI","D","104","1781.7833333333","8","24","14","10","32","37.21","132","6.06","6.47","271","177","66","19","3","16","22","11","11","0","0","11","67","20","52","137","139","0","0","-"
"768","Anthony Cirelli","T.B","C","100","1156.5","14","18","11","7","32","58.18","120","11.67","12.45","206","162","142","82","8","14","30","8","5","2","1","18","20","41","115","128","37","468","447","51.15"
"101","Patric Hornqvist","PIT","R","84","1039.1666666667","15","16","7","9","31","70.45","181","8.29","15.64","276","228","169","79","17","24","26","9","8","0","1","14","17","23","167","185","46","9","9","50.00"
"105","Bryan Little","WPG","C","89","1114.1333333333","9","22","13","9","31","68.89","103","8.74","8.64","165","133","99","54","6","8","18","9","9","0","0","15","20","33","63","43","23","441","400","52.44"
"129","Artem Anisimov","CHI, OTT","C","85","1120.45","15","16","9","7","31","73.81","128","11.72","13.25","240","177","140","72","3","12","10","5","5","0","0","5","12","39","27","75","35","309","360","46.19"
"303","Tyler Toffoli","L.A","C, R","103","1320.45","10","21","11","10","31","65.96","216","4.63","19.42","384","292","212","82","10","36","17","7","6","1","0","10","31","45","45","67","19","18","24","42.86"
"368","Ondrej Palat","T.B","L","83","1037.8833333333","10","21","8","13","31","63.27","119","8.40","10.16","213","154","140","55","12","17","20","10","10","0","0","11","45","24","133","103","47","2","15","11.76"
"478","Radek Faksa","DAL","C","104","1366.85","15","16","11","5","31","70.45","125","12.00","14.77","225","180","148","90","7","15","52","22","20","2","0","14","34","44","119","135","64","568","569","49.96"
"496","Colton Sissons","NSH","C","96","1161.0833333333","14","17","12","5","31","63.27","103","13.59","11.69","190","152","126","56","9","9","20","10","10","0","0","2","27","29","132","82","54","385","327","54.07"
"595","Seth Jones","CBJ","D","96","1869.6166666667","6","25","13","12","31","36.05","171","3.51","7.4","351","255","80","10","9","12","26","13","13","0","0","9","68","51","107","139","137","0","0","-"
"707","Frank Vatrano","FLA","C","103","1294.2333333333","20","11","4","7","31","75.61","224","8.93","17.83","347","284","171","75","11","26","34","17","17","0","0","19","29","39","154","117","81","16","28","36.36"
"761","Jake DeBrusk","BOS","L","85","1077.5","20","11","7","4","31","65.96","147","13.61","12.57","265","207","139","73","10","12","14","7","7","0","0","10","28","39","47","123","25","9","30","23.08"
"915","Alex Iafallo","L.A","L","104","1454.1333333333","13","18","10","8","31","56.36","136","9.56","12.41","230","191","139","62","6","17","20","9","9","0","0","11","17","31","99","103","64","13","18","41.94"
"947","Jesperi Kotkaniemi","MTL","C","94","1085.8166666667","12","19","12","7","31","77.50","137","8.76","10.1","253","177","118","46","14","12","22","11","11","0","0","14","44","34","85","110","44","369","453","44.89"
"4","Patrick Marleau","S.J, TOR","C","101","1401.9166666667","14","16","10","6","30","50.00","151","9.27","13.84","239","198","166","78","9","12","24","12","12","0","0","8","23","38","92","103","46","83","74","52.87"
"30","Ryan Suter","MIN","D","104","2037.3166666667","4","26","10","16","30","35.29","120","3.33","5.19","274","186","53","11","3","22","36","18","18","0","0","5","32","25","83","52","110","0","0","-"
"128","Michael Frolik","CGY","R","88","1062.2666666667","13","17","11","6","30","62.50","152","8.55","10.97","266","208","149","50","10","14","36","18","18","0","0","10","54","45","68","108","22","13","31","29.55"
"331","Taylor Hall","N.J","L","53","784.11666666667","9","21","16","5","30","78.95","130","6.92","10.27","220","175","119","47","7","16","18","9","9","0","0","7","37","35","34","74","32","23","29","44.23"
"355","Micheal Ferland","CAR, VAN","L","83","944.13333333333","11","19","16","3","30","62.50","136","8.09","13.32","211","172","131","75","6","24","46","16","12","4","0","9","35","33","202","81","18","18","35","33.96"
