"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","GF%","Rel GF%","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"LEAN.BERGMANN","2019-2020","S.J","C",6,49.38,0,1,1,1,1.22,1.22,0.58,0.7,39,53,-14,42.39,-12.46,1,4,-3,20,-22.11,1.2,2.33,-1.13,33.99,-12.31,0,2,2,11,13.37,0.45,0.55,0,90.26,52.94,18.75,28.83,52.8,28.17,50.43
"LEO.KOMAROV","2019-2020","NYI","C",7,71.45,0,2,2,0,1.68,0,-0.23,-0.19,46,72,-26,38.98,-6.66,2,2,0,50,8.82,1.85,1.99,-0.14,48.18,3.34,1,0,-1,3,2.52,0.09,0.08,0,102.64,27.66,20.69,28.46,46.45,28.04,50.77
"LEON.DRAISAITL","2019-2020","EDM","C",13,223.96,7,7,14,14,3.75,3.75,13,3.48,196,211,-15,48.16,-0.25,16,8,8,66.67,40.58,9.55,9.24,0.31,50.82,2,1,3,2,44,11.79,3.1,0.83,24.14,107.29,51.13,35.36,33.99,42.9,29.74,49.59
"LIAS.ANDERSSON","2019-2020","NYR","C",10,76.95,0,1,1,0,0.78,0,-0.27,-0.21,56,77,-21,42.11,-1.01,2,4,-2,33.33,-19.3,2.63,2.79,-0.16,48.52,4.65,1,0,-1,8,6.24,0.62,0.48,0,96.25,45.16,16.77,26.64,45.02,28.14,49.31
"LIBOR.HAJEK","2019-2020","NYR","D",10,152.14,0,1,1,0,0.39,0,-2.74,-1.08,97,181,-84,34.89,-11.71,5,7,-2,41.67,-11.46,3.82,8.08,-4.26,32.1,-18.01,2,0,-2,15,5.92,0.22,0.09,0,101.39,37.84,33.15,28.39,45.94,29.03,49.69
"LOGAN.BROWN","2019-2020","OTT","C",3,32.57,0,0,0,0,0,0,0.78,1.44,41,29,12,58.57,10.59,1,1,0,50,-11.54,3.38,1.18,2.2,74.12,21.16,0,0,0,6,11.05,0.53,0.98,0,98.28,62.5,24.5,31.11,46.37,27.84,46.76
"LOGAN.COUTURE","2019-2020","S.J","C",13,150.49,1,2,3,3,1.2,1.2,2.42,0.96,120,143,-23,45.63,-4.23,6,7,-1,46.15,14.45,4.25,5.6,-1.35,43.15,3.58,2,4,2,19,7.58,0.7,0.28,8.33,99.11,53.85,26.7,32.75,48.06,29.44,50.76
"LOGAN.SHAW","2019-2020","WPG","R",1,5.68,0,0,0,0,0,0,0.08,0.85,3,3,0,50,-8.89,0,0,0,NA,NA,0.21,0.15,0.06,58.33,10.68,0,0,0,1,10.56,0.14,1.48,0,100,33.33,11.02,25.82,50.2,27.87,45.88
"LOUI.ERIKSSON","2019-2020","VAN","L",2,23.83,0,1,1,0,2.52,0,0.7,1.76,22,22,0,50,-8.87,1,1,0,50,-22.73,0.96,0.6,0.36,61.54,-0.92,0,0,0,6,15.11,0.18,0.45,0,100.55,54.55,24.26,27.79,48.48,28.85,48.79
"LUCA.SBISA","2019-2020","WPG","D",1,12.72,0,0,0,0,0,0,0.72,3.4,16,3,13,84.21,32.26,1,1,0,50,12.5,0.45,0.07,0.38,86.54,42.88,0,0,0,2,9.43,0.06,0.28,0,62.5,55.56,24.69,27.78,49.93,27.78,44.94
"LUCAS.WALLMARK","2019-2020","CAR","C",12,115.28,1,2,3,2,1.56,1.04,3.05,1.59,101,113,-12,47.2,-8.36,6,5,1,54.55,-0.29,4.18,4.15,0.03,50.18,-9.81,1,1,0,24,12.49,1.28,0.67,6.25,101.61,43.42,20.47,28.32,53.78,27.51,49.56
"LUKAS.RADIL","2019-2020","S.J","C",8,73.72,0,0,0,0,0,0,0.04,0.03,60,63,-3,48.78,3.67,0,2,-2,0,-36,1.49,1.88,-0.39,44.21,5.82,1,0,-1,11,8.95,0.43,0.35,0,94.29,48.94,22.56,29.12,49.16,28.13,51.43
"LUKE.GLENDENING","2019-2020","DET","C",10,104.9,1,0,1,1,0.57,0.57,-2.38,-1.36,63,128,-65,32.98,-16.31,1,9,-8,10,-38.39,1.7,3.86,-2.16,30.58,-19.33,0,0,0,10,5.72,0.48,0.27,12.5,89.71,32.29,22.22,29.59,49.68,29.12,50.37
"LUKE.KUNIN","2019-2020","MIN","C",12,155.84,2,1,3,2,1.16,0.77,1.58,0.61,136,170,-34,44.44,-7.04,4,7,-3,36.36,-9.35,5.72,6.35,-0.63,47.39,-4.85,7,4,-3,40,15.4,2.4,0.92,7.69,96.66,49.49,27.56,29.46,51.52,29.19,50.5
"LUKE.WITKOWSKI","2019-2020","T.B","R",11,92.71,1,2,3,2,1.94,1.29,-0.13,-0.08,63,110,-47,36.42,-14.47,3,4,-1,42.86,-15.97,2.22,4.17,-1.95,34.74,-16.65,4,1,-3,12,7.77,0.52,0.34,11.11,102.47,64.86,17.91,25.98,50.66,27.45,50.44
"MACKENZIE.MACEACHERN","2019-2020","STL","L",5,40.54,0,0,0,0,0,0,-0.3,-0.44,26,34,-8,43.33,-6.67,0,2,-2,0,-44.44,0.6,1.1,-0.5,35.29,-14.66,1,1,0,6,8.88,0.15,0.22,0,89.47,27.78,17.5,28.71,45.4,27.2,50.38
"MACKENZIE.WEEGAR","2019-2020","FLA","D",12,210.27,3,4,7,5,2,1.43,10.22,2.92,192,130,62,59.63,10.87,14,13,1,51.85,8.99,7.6,5.79,1.81,56.76,11.41,1,3,2,32,9.13,0.88,0.25,13.04,92.55,52.43,36.59,28.31,51.09,29.26,48.93
"MADISON.BOWEY","2019-2020","DET","D",8,102.03,0,2,2,0,1.18,0,0.14,0.08,67,94,-27,41.61,-10.79,5,6,-1,45.45,10.16,2.04,3.76,-1.72,35.17,-13.53,1,0,-1,12,7.06,0.21,0.12,0,100.91,61.76,26.03,26.74,47.36,28.08,49.02
"MARC-EDOUARD.VLASIC","2019-2020","S.J","D",13,205.17,1,0,1,1,0.29,0.29,-1.5,-0.44,158,202,-44,43.89,-7.62,4,15,-11,21.05,-21.8,5.27,10.1,-4.83,34.29,-9.77,0,1,1,27,7.9,0.46,0.13,10,91.49,48.85,36.4,29.04,50.96,29.29,50.49
"MARCO.SCANDELLA","2019-2020","BUF","D",11,155.9,2,2,4,2,1.54,0.77,6.12,2.36,151,133,18,53.17,6.72,11,3,8,78.57,30.3,6.13,5.32,0.81,53.54,6.69,1,1,0,29,11.16,0.42,0.16,15.38,109.14,51,30.77,26.87,45.89,28.79,49.72
