id,team_name,gp,toi,w,l,otl,row,points,points_pcg,cf,ca,cf_pcg,ff,fa,ff_pcg,sf,sa,sf_pcg,gf,ga,gf_pcg,xgf,xga,xgf_pcg,scf,sca,scf_pcg,scsf,scsa,scsf_pcg,scgf,scga,scgf_pcg,scsh_pcg,scsv_pcg,hdcf,hdca,hdcf_pcg,hdsf,hdsa,hdsf_pcg,hdgf,hdga,hdgf_pcg,hdsh_pcg,hdsv_pcg,mdcf,mdca,mdcf_pcg,mdsf,mdsa,mdsf_pcg,mdgf,mdga,mdgf_pcg,mdsh_pcg,mdsv_pcg,ldcf,ldca,ldcf_pcg,ldsf,ldsa,ldsf_pcg,ldgf,ldga,ldgf_pcg,ldsh_pcg,ldsv_pcg,sh_pcg,sv_pcg,pdo
11,Dallas Stars,67,3212.0667,40,22,5,38,85,0.634,3212,3104,50.85,2305,2208,51.07,1715,1587,51.94,122,93,56.74,137.06,120.95,53.12,1650,1414,53.85,981,815,54.62,99,76,56.57,10.09,90.67,719,577,55.48,534,430,55.39,76,57,57.14,14.23,86.74,931,837,52.66,447,385,53.73,23,19,54.76,5.15,95.06,1230,1324,48.16,639,693,47.97,23,16,58.97,3.60,97.69,7.11,94.14,1.013
12,Colorado Avalanche,66,3086.95,35,21,10,33,80,0.606,3069,2809,52.21,2262,2040,52.58,1753,1556,52.98,147,119,55.26,121.54,104.39,53.79,1494,1194,55.58,940,739,55.99,116,99,53.95,12.34,86.60,589,467,55.78,455,355,56.17,76,66,53.52,16.70,81.41,905,727,55.45,485,384,55.81,40,33,54.79,8.25,91.41,1332,1335,49.94,739,727,50.41,30,20,60.00,4.06,97.25,8.39,92.35,1.007
13,Vegas Golden Knights,68,3319.6667,38,22,8,35,84,0.618,3561,2973,54.50,2652,2130,55.46,1935,1591,54.88,150,130,53.57,154.01,118.93,56.43,1752,1333,56.79,1083,821,56.88,129,111,53.75,11.91,86.48,734,543,57.48,543,413,56.80,84,78,51.85,15.47,81.11,1018,790,56.31,540,408,56.96,45,33,57.69,8.33,91.91,1482,1310,53.08,755,673,52.87,21,17,55.26,2.78,97.47,7.75,91.83,0.996
14,Columbus Blue Jackets,69,3400.25,39,26,4,39,82,0.594,3142,3061,50.65,2459,2236,52.37,1830,1642,52.71,146,135,51.96,133.54,120.65,52.54,1474,1344,52.31,983,839,53.95,121,116,51.05,12.31,86.17,586,525,52.75,441,411,51.76,76,73,51.01,17.23,82.24,888,819,52.02,542,428,55.88,45,43,51.14,8.30,89.95,1351,1385,49.38,738,720,50.62,24,18,57.14,3.25,97.50,7.98,91.78,0.998
15,Los Angeles Kings,65,3187.6667,28,33,4,27,60,0.462,2993,2920,50.62,2289,2246,50.47,1556,1530,50.42,111,131,45.87,125.44,121.86,50.72,1368,1370,49.96,769,765,50.13,92,108,46.00,11.96,85.88,554,522,51.49,373,376,49.80,62,69,47.33,16.62,81.65,814,848,48.98,396,389,50.45,30,39,43.48,7.58,89.97,1340,1340,50.00,693,684,50.33,17,23,42.50,2.45,96.64,7.13,91.44,0.986
16,Toronto Maple Leafs,68,3389.5167,36,23,9,36,81,0.596,3643,3316,52.35,2662,2605,50.54,1786,1819,49.54,167,142,54.05,140.41,132.72,51.41,1806,1553,53.77,1019,932,52.23,146,126,53.68,14.33,86.48,647,565,53.38,463,418,52.55,93,78,54.39,20.09,81.34,1159,988,53.98,556,514,51.96,53,48,52.48,9.53,90.66,1588,1530,50.93,709,792,47.24,21,16,56.76,2.96,97.98,9.35,92.19,1.015
17,Tampa Bay Lightning,66,3149.9667,48,14,4,44,100,0.758,3056,2697,53.12,2311,2092,52.49,1697,1575,51.86,176,125,58.47,123.8,103.39,54.49,1649,1332,55.32,1034,900,53.46,152,115,56.93,14.70,87.22,597,476,55.64,444,371,54.48,88,69,56.05,19.82,81.40,1052,856,55.14,590,529,52.73,64,46,58.18,10.85,91.30,1262,1208,51.09,600,601,49.96,24,10,70.59,4.00,98.34,10.37,92.06,1.024
18,New Jersey Devils,67,3183.2833,27,23,17,25,71,0.530,2682,2915,47.92,2121,2245,48.58,1537,1561,49.61,129,138,48.31,115,117.68,49.42,1238,1355,47.74,804,829,49.23,99,109,47.60,12.31,86.85,502,449,52.79,384,335,53.41,66,63,51.16,17.19,81.19,736,906,44.82,420,494,45.95,33,46,41.77,7.86,90.69,1258,1341,48.40,674,672,50.07,30,28,51.72,4.45,95.83,8.39,91.16,0.996
19,New York Islanders,68,3362,40,20,8,36,88,0.647,2951,3212,47.88,2188,2305,48.70,1648,1641,50.11,143,116,55.21,132.39,122.61,51.92,1577,1566,50.17,981,916,51.71,127,97,56.70,12.95,89.41,773,625,55.29,616,480,56.20,102,75,57.63,16.56,84.38,804,941,46.07,365,436,45.57,25,22,53.19,6.85,94.95,1151,1371,45.64,585,658,47.06,16,18,47.06,2.74,97.26,8.68,92.93,1.016
20,Minnesota Wild,67,3248.25,31,25,11,29,73,0.545,3052,2896,51.31,2357,2135,52.47,1675,1508,52.62,125,120,51.02,115.93,95.77,54.76,1293,1079,54.51,800,649,55.21,105,91,53.57,13.13,85.98,577,424,57.64,426,318,57.26,64,63,50.39,15.02,80.19,716,655,52.22,374,331,53.05,41,28,59.42,10.96,91.54,1432,1459,49.53,785,769,50.51,20,28,41.67,2.55,96.36,7.46,92.04,0.995
21,Arizona Coyotes,68,3249.5,33,27,8,31,74,0.544,3192,3276,49.35,2402,2397,50.05,1686,1670,50.24,126,118,51.64,126.29,121.67,50.93,1410,1437,49.53,843,806,51.12,103,101,50.49,12.22,87.47,632,595,51.51,441,409,51.88,61,67,47.66,13.83,83.62,778,842,48.02,402,397,50.31,42,34,55.26,10.45,91.44,1476,1519,49.28,732,771,48.70,22,16,57.89,3.01,97.92,7.47,92.93,1.004
22,Calgary Flames,67,3252.9,39,19,9,38,87,0.649,3273,2807,53.83,2426,2128,53.27,1694,1504,52.97,155,137,53.08,133.29,112.52,54.22,1579,1301,54.83,928,809,53.43,138,108,56.10,14.87,86.65,588,511,53.50,438,372,54.07,95,64,59.75,21.69,82.80,991,790,55.64,490,437,52.86,43,44,49.43,8.78,89.93,1429,1248,53.38,692,593,53.85,17,28,37.78,2.46,95.28,9.15,90.89,1.000
23,Chicago Blackhawks,69,3343.1333,31,26,12,28,74,0.536,3244,3279,49.73,2311,2400,49.06,1807,1930,48.35,143,143,50.00,132.43,144.62,47.80,1604,1668,49.02,973,1045,48.22,127,125,50.40,13.05,88.04,653,743,46.78,508,583,46.56,91,81,52.91,17.91,86.11,951,925,50.69,465,462,50.16,36,44,45.00,7.74,90.48,1388,1342,50.84,772,805,48.95,16,18,47.06,2.07,97.76,7.91,92.59,1.005
24,Boston Bruins,70,3362.25,47,11,12,46,106,0.757,3155,2701,53.88,2434,2061,54.15,1756,1525,53.52,134,103,56.54,119.42,101.41,54.08,1391,1186,53.98,872,767,53.20,111,77,59.04,12.73,89.96,521,472,52.47,400,380,51.28,79,53,59.85,19.75,86.05,870,714,54.92,472,387,54.95,32,24,57.14,6.78,93.80,1575,1342,53.99,789,669,54.12,23,26,46.94,2.92,96.11,7.63,93.25,1.009
25,Anaheim Ducks,66,3171.7333,31,24,11,26,73,0.553,3014,3140,48.98,2328,2401,49.23,1529,1634,48.34,124,119,51.03,129.95,139.18,48.28,1491,1548,49.06,844,930,47.58,106,107,49.77,12.56,88.49,653,657,49.85,451,481,48.39,74,80,48.05,16.41,83.37,838,891,48.47,393,449,46.67,32,27,54.24,8.14,93.99,1303,1355,49.02,606,644,48.48,18,11,62.07,2.97,98.29,8.11,92.72,1.008
26,Philadelphia Flyers,67,3210.4667,37,22,8,34,82,0.612,3132,3023,50.89,2326,2240,50.94,1668,1663,50.08,137,127,51.89,122.81,118.99,50.79,1336,1263,51.40,775,786,49.65,117,108,52.00,15.10,86.26,552,510,51.98,397,389,50.51,81,63,56.25,20.40,83.80,784,753,51.01,378,397,48.77,36,45,44.44,9.52,88.66,1446,1445,50.02,770,761,50.29,20,18,52.63,2.60,97.63,8.21,92.36,1.006
27,Nashville Predators,67,3179.5,36,25,6,32,78,0.582,3294,2683,55.11,2523,2039,55.30,1812,1476,55.11,138,120,53.49,127.21,104.22,54.97,1426,1188,54.55,853,763,52.78,119,99,54.59,13.95,87.02,571,483,54.17,426,378,52.99,81,56,59.12,19.01,85.19,855,705,54.81,427,385,52.59,38,43,46.91,8.90,88.83,1603,1244,56.30,882,641,57.91,19,21,47.50,2.15,96.72,7.62,91.87,0.995
28,Winnipeg Jets,68,3329.5833,37,24,7,36,81,0.596,3061,3180,49.05,2288,2422,48.58,1618,1786,47.53,131,129,50.38,115.19,128.45,47.28,1322,1356,49.37,784,842,48.22,112,107,51.14,14.29,87.29,503,588,46.10,353,432,44.97,66,77,46.15,18.70,82.18,819,768,51.61,431,410,51.25,46,30,60.53,10.67,92.68,1436,1524,48.51,745,855,46.56,19,22,46.34,2.55,97.43,8.10,92.78,1.009
29,Florida Panthers,67,3214.95,36,21,10,35,82,0.612,2979,2956,50.19,2291,2262,50.32,1727,1681,50.67,154,131,54.04,127.06,128.87,49.64,1359,1306,50.99,884,851,50.95,125,113,52.52,14.14,86.72,521,558,48.29,406,444,47.76,83,75,52.53,20.44,83.11,838,748,52.84,478,407,54.01,42,38,52.50,8.79,90.66,1364,1365,49.98,759,725,51.15,28,16,63.64,3.69,97.79,8.92,92.21,1.011
30,Montreal Canadiens,70,3383.95,36,26,8,32,80,0.571,3910,3006,56.54,2785,2163,56.29,2068,1611,56.21,168,136,55.26,144.82,108.9,57.08,1709,1317,56.48,1016,788,56.32,146,122,54.48,14.37,84.52,702,529,57.03,527,398,56.97,97,77,55.75,18.41,80.65,1007,788,56.10,489,390,55.63,49,45,52.13,10.02,88.46,1829,1371,57.16,948,725,56.66,22,14,61.11,2.32,98.07,8.12,91.56,0.997
31,Edmonton Oilers,66,3231.9833,31,27,8,30,70,0.530,2970,3099,48.94,2200,2272,49.19,1569,1677,48.34,133,154,46.34,124.88,129.33,49.12,1436,1470,49.42,811,873,48.16,118,124,48.76,14.55,85.80,615,611,50.16,425,441,49.08,74,83,47.13,17.41,81.18,821,859,48.87,386,432,47.19,44,41,51.76,11.40,90.51,1283,1324,49.21,676,704,48.99,13,29,30.95,1.92,95.88,8.48,90.82,0.993
