"","Player","Team","Position","GP","TOI","TOI/GP","CF/60 Rel","CA/60 Rel","CF% Rel","FF/60 Rel","FA/60 Rel","FF% Rel","SF/60 Rel","SA/60 Rel","SF% Rel","GF/60 Rel","GA/60 Rel","GF% Rel","xGF/60 Rel","xGA/60 Rel","xGF% Rel","SCF/60 Rel","SCA/60 Rel","SCF% Rel","HDCF/60 Rel","HDCA/60 Rel","HDCF% Rel","HDGF/60 Rel","HDGA/60 Rel","HDGF% Rel","MDCF/60 Rel","MDCA/60 Rel","MDCF% Rel","MDGF/60 Rel","MDGA/60 Rel","MDGF% Rel","LDCF/60 Rel","LDCA/60 Rel","LDCF% Rel","LDGF/60 Rel","LDGA/60 Rel","LDGF% Rel","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"484","Martin Frk","DET","R","30","242.65","8.0883333333333","-3.78","0.11","-1.90","-6.31","-0.99","-3.63","-4.25","-0.07","-3.93","-0.82","1.15","-19.14","-0.47","0.1","-6.92","-4.67","1.39","-6.50","-0.99","1.89","-6.32","-0.7","0.53","-22.73","-4.91","-0.67","-6.53","-0.7","0.15","-33.33","1.07","-2.21","2.26","0.58","0.73","1.68","7.14","89.55","0.967","13.35","16.07","4.7","51.18","73.97","20.28","19.53","11.62","63.57"
"218","Matt Martin","NYI","L","67","737.23333333333","11.003482587065","-7.64","-4.3","-1.90","-4.25","-4.87","0.15","-4.59","-2.87","-1.86","-0.56","-0.18","-3.67","-0.38","-0.34","-0.50","-4.43","-1.63","-2.92","-1.14","-0.78","-0.66","-0.45","-0.07","-6.33","-4.38","-1.13","-4.66","-0.17","-0.1","-0.19","-3.86","-5.72","0.89","0.03","-0.05","6.67","7.72","94.41","1.021","7.08","18.64","13.1","44.19","35.08","12.53","24.9","23.03","35.24"
"153","Anthony Peluso","CGY","R","4","16.45","4.1125","-11.55","-7.21","-1.91","-14.95","-9.86","-3.77","-13.6","-10.67","-3.98","-1.45","1.48","-40.00","-0.81","-0.86","0.68","-13.99","-18","7.46","-5.37","-8.65","15.94","-1.09","2.56","-50.00","-11.5","-12.46","1.11","0","-0.96","0.00","-3.44","18.16","-14.73","-0.52","-0.52","-50.00","0.00","83.33","0.833","3.65","18.24","10.94","65.65","25.00","3.65","21.88","14.59","20.00"
"209","Adam Henrique","ANA","C","82","1008.7833333333","12.302235772358","-4.32","-0.24","-1.92","-3.27","-1.29","-1.34","-3.36","-2.45","-1.11","0.2","-0.4","6.91","-0.03","-0.31","2.73","-1.29","-3.31","1.59","-0.08","-2.38","4.86","0.18","-0.09","5.14","-1.62","-1.24","-0.67","0.04","-0.55","20.32","-3.91","5.27","-6.38","-0.01","0.17","-12.12","8.69","93.12","1.018","13.03","11.95","8.74","45.44","59.84","18.91","17.19","18.32","50.80"
"141","Paul Carey","BOS, OTT","C","7","72.95","10.421428571429","-10.9","-8.38","-1.92","-12.19","-4.97","-6.11","-9.04","-1.76","-7.21","-1.18","-0.31","-9.09","-0.81","-0.17","-9.37","-7.24","-1.79","-7.20","-2.33","0.18","-8.12","-0.7","0.99","-36.67","-6.54","-2.63","-6.93","-1.45","-1.45","-50.00","-5.21","-11.8","4.18","0.87","-0.31","50.00","7.69","93.94","1.016","8.22","9.87","7.4","46.88","52.63","17.27","14.8","15.63","52.50"
"452","Tanner Pearson","L.A, PIT, VAN","L","80","984.63333333333","12.307916666667","-2.33","2.12","-1.93","-2.48","1.72","-2.47","-1.42","1.71","-2.49","-0.83","0","-9.82","-0.15","0.09","-2.68","-1.58","1.34","-2.80","-1.13","0.72","-4.32","-0.34","-0.45","2.59","-0.61","0.83","-1.73","-0.35","0.19","-15.94","-0.94","0.62","-1.05","-0.29","0.47","-31.35","5.87","92.56","0.984","10.54","15.36","8.35","51.61","55.81","16.64","21.51","19.32","46.27"
"873","Kiefer Sherwood","ANA","R","50","544.73333333333","10.894666666667","-0.28","4.46","-1.95","-1.4","3.06","-2.53","-1.29","4.48","-4.57","0.03","-0.05","0.92","-0.04","0.42","-4.29","-0.04","5.71","-4.52","-0.36","1.66","-4.08","-0.15","-0.23","1.21","0.43","5.39","-4.89","0.33","0.29","4.62","-0.43","-3.25","2.00","-0.1","0","-2.90","7.92","93.71","1.016","11.9","14.54","7.93","46.37","60.00","16.41","19.17","16.74","49.50"
"73","Troy Brouwer","FLA","R","75","793","10.573333333333","-3.05","1.25","-1.96","-2.53","-0.41","-1.29","-1.91","0.43","-1.91","-0.47","-0.34","-1.94","-0.22","-0.36","1.45","-3.14","-2.3","-1.03","-1.08","-2.43","2.87","-0.44","-0.14","-5.75","-2.75","0.17","-3.91","0","-0.18","4.13","-1.86","5.54","-4.88","-0.04","-0.1","3.85","7.16","91.44","0.986","8.7","17.02","7.94","50.62","52.27","15.74","25.04","16.72","48.48"
"135","Ben Lovejoy","DAL, N.J","D","71","947.7","13.347887323944","-2.38","2.15","-1.99","-1.46","0.99","-1.43","-1.95","0.49","-1.95","-0.49","-0.19","-3.53","-0.07","-0.05","-0.25","-2.72","-0.62","-2.09","-0.33","0","-0.75","-0.13","-0.57","9.27","-3.18","-0.82","-3.20","0.1","0.01","3.06","0.17","0.79","-0.38","-0.56","0.62","-38.17","6.75","92.41","0.992","5.82","13.93","10.19","56.28","36.36","14.18","20.51","20.01","41.48"
"586","Ryan Pulock","NYI","D","82","1435.8166666667","17.509959349593","-3.44","0.79","-1.99","-1.99","-0.05","-1.26","-1.12","-0.9","-0.24","0.28","-0.28","6.43","0.08","-0.11","2.10","-0.4","0.9","-1.19","0.09","-0.08","0.36","0.1","-0.01","1.68","-0.65","1.3","-2.29","0.32","-0.31","23.35","-3.28","-0.63","-2.22","-0.09","-0.05","-6.06","9.44","94.14","1.036","6.23","12.16","8.94","47.18","41.05","14.5","19.18","19.26","42.95"
"796","Tyson Jost","COL","C","70","758.25","10.832142857143","-3.75","0.72","-1.99","-3.81","0.22","-2.43","-3.66","-0.19","-2.79","-0.02","-0.01","-0.07","-0.18","0.15","-3.58","-1.61","0.01","-1.52","-0.3","1.19","-3.33","0.56","-0.15","12.57","-1.76","-1.57","-0.06","-0.76","0.16","-32.63","-2.52","1.04","-2.48","-0.01","0.06","-3.13","8.11","92.75","1.009","10.21","10.05","6.25","49.22","62.02","16.62","14.88","14.56","53.30"
"689","Jonas Siegenthaler","WSH","D","26","336","12.923076923077","-8.68","-4.38","-1.99","-9.35","-7.38","-1.13","-6.21","-7.37","1.09","-0.17","-0.98","11.07","-0.16","-0.91","8.78","0.45","-6.25","6.28","1.45","-4.85","14.07","0.3","-0.85","23.78","-1.34","-1.87","0.81","0","-0.09","2.17","-11.46","0.65","-9.33","-0.68","-0.09","9.09","9.72","94.24","1.040","7.68","12.68","8.21","49.11","48.31","13.93","19.11","16.61","45.61"
"471","Oskar Sundqvist","STL","C","74","842.33333333333","11.382882882883","-4.21","0.19","-2.00","-3.6","0.6","-2.57","-4.99","1.07","-5.16","-0.24","0.12","-3.74","-0.28","0.02","-3.16","-3.32","-1.61","-1.43","-2.13","0.21","-5.35","0.1","-0.07","3.06","-1.58","-2.43","1.10","-0.63","0.24","-28.89","-2.21","1.88","-3.09","0.09","0.01","3.33","8.64","92.25","1.009","7.41","12.96","9.83","49.58","42.98","13.11","19.09","19.52","40.17"
