Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-01-25,9:00 PM,10:00 PM,Ottawa Senators,1,Vancouver Canucks,7,Regulation
2021-01-26,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Boston Bruins,3,OT
2021-01-26,6:00 PM,7:00 PM,New York Rangers,2,Buffalo Sabres,3,Regulation
2021-01-26,6:00 PM,7:00 PM,Philadelphia Flyers,5,New Jersey Devils,3,Regulation
2021-01-26,6:00 PM,7:00 PM,New York Islanders,2,Washington Capitals,3,Regulation
2021-01-26,6:00 PM,7:00 PM,Florida Panthers,4,Columbus Blue Jackets,3,SO
2021-01-26,7:00 PM,8:00 PM,Chicago Blackhawks,2,Nashville Predators,3,OT
2021-01-26,7:00 PM,8:00 PM,Edmonton Oilers,4,Winnipeg Jets,6,Regulation
2021-01-26,7:00 PM,8:00 PM,Los Angeles Kings,2,Minnesota Wild,1,Regulation
2021-01-26,7:30 PM,8:30 PM,Detroit Red Wings,1,Dallas Stars,2,OT
2021-01-26,8:00 PM,9:00 PM,Toronto Maple Leafs,4,Calgary Flames,3,Regulation
2021-01-26,8:00 PM,9:00 PM,San Jose Sharks,3,Colorado Avalanche,7,Regulation
2021-01-26,8:00 PM,9:00 PM,Anaheim Ducks,1,Arizona Coyotes,0,Regulation
2021-01-26,8:00 PM,9:00 PM,St. Louis Blues,5,Vegas Golden Knights,4,SO
2021-01-27,6:30 PM,7:30 PM,Chicago Blackhawks,1,Nashville Predators,2,SO
2021-01-27,7:00 PM,8:00 PM,Ottawa Senators,1,Vancouver Canucks,5,Regulation
2021-01-28,6:00 PM,7:00 PM,Pittsburgh Penguins,1,Boston Bruins,4,Regulation
2021-01-28,6:00 PM,7:00 PM,New York Rangers,3,Buffalo Sabres,2,OT
2021-01-28,6:00 PM,7:00 PM,Philadelphia Flyers,3,New Jersey Devils,1,Regulation
2021-01-28,6:00 PM,7:00 PM,New York Islanders,3,Washington Capitals,6,Regulation
2021-01-28,6:00 PM,7:00 PM,Tampa Bay Lightning,0,Carolina Hurricanes,1,OT
2021-01-28,6:00 PM,7:00 PM,Florida Panthers,2,Columbus Blue Jackets,3,SO
2021-01-28,6:00 PM,7:00 PM,Calgary Flames,2,Montreal Canadiens,4,Regulation
2021-01-28,7:00 PM,8:00 PM,Los Angeles Kings,3,Minnesota Wild,5,Regulation
2021-01-28,7:30 PM,8:30 PM,Detroit Red Wings,3,Dallas Stars,7,Regulation
2021-01-28,8:00 PM,9:00 PM,San Jose Sharks,0,Colorado Avalanche,3,Regulation
2021-01-28,8:00 PM,9:00 PM,Anaheim Ducks,2,Arizona Coyotes,3,Regulation
2021-01-28,9:00 PM,10:00 PM,Toronto Maple Leafs,4,Edmonton Oilers,3,Regulation
2021-01-28,9:00 PM,10:00 PM,Ottawa Senators,1,Vancouver Canucks,4,Regulation
2021-01-29,7:00 PM,8:00 PM,Columbus Blue Jackets,2,Chicago Blackhawks,1,Regulation
2021-01-30,12:00 PM,1:00 PM,New Jersey Devils,3,Buffalo Sabres,4,SO
2021-01-30,6:00 PM,7:00 PM,Pittsburgh Penguins,5,New York Rangers,4,OT
2021-01-30,6:00 PM,7:00 PM,New York Islanders,2,Philadelphia Flyers,3,OT
2021-01-30,6:00 PM,7:00 PM,Boston Bruins,3,Washington Capitals,4,OT
2021-01-30,6:00 PM,7:00 PM,Dallas Stars,1,Carolina Hurricanes,4,Regulation
2021-01-30,6:00 PM,7:00 PM,Nashville Predators,3,Tampa Bay Lightning,4,Regulation
2021-01-30,6:00 PM,7:00 PM,Florida Panthers,3,Detroit Red Wings,2,OT
2021-01-30,6:00 PM,7:00 PM,Calgary Flames,2,Montreal Canadiens,0,Regulation
2021-01-30,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Edmonton Oilers,4,OT
2021-01-30,7:00 PM,8:00 PM,Colorado Avalanche,5,Minnesota Wild,1,Regulation
2021-01-30,8:00 PM,9:00 PM,St. Louis Blues,6,Anaheim Ducks,1,Regulation
2021-01-30,9:00 PM,10:00 PM,Vancouver Canucks,4,Winnipeg Jets,1,Regulation
2021-01-31,12:00 PM,1:00 PM,New Jersey Devils,5,Buffalo Sabres,3,Regulation
2021-01-31,4:00 PM,5:00 PM,Dallas Stars,3,Carolina Hurricanes,4,SO
