id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
390,Brent Regner,FLA,D,7,2.2666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
391,Matt Martin,NYI,L,80,3.55,0,0,0,0,0,-,0,-,0,1,0,1,0,1,0,2,1,1,0,0,10,0,0,0,0,0,0,0,-
392,Cam Atkinson,CBJ,R,81,146.91666666667,2,0,0,0,2,100.00,11,18.18,1.37,15,13,13,8,2,1,4,2,2,0,0,2,1,10,2,2,11,1,0,100.00
393,Jared Spurgeon,MIN,D,77,132.81666666667,0,3,1,2,3,100.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,2,23,0,0,-
394,Mark Barberio,MTL,D,30,11.216666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
395,Ben Smith,"S.J, TOR",R,22,35.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,28,23,54.90
396,Zac Rinaldo,BOS,C,52,9.1833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,-
397,Tommy Wingels,S.J,C,68,76.966666666667,0,2,2,0,2,100.00,1,0.00,0.18,2,2,2,1,0,0,2,1,1,0,0,5,2,3,5,3,9,8,20,28.57
398,Zach Redmond,COL,D,37,8.5666666666667,0,0,0,0,0,-,0,-,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,-
399,Sean Collins,WSH,C,2,0.61666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
400,Matt Bartkowski,VAN,D,80,95.366666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,9,1,4,0,0,-
401,Dalton Prout,CBJ,D,64,80.783333333333,0,0,0,0,0,-,1,0.00,0.07,1,1,0,0,0,0,14,4,2,2,0,3,2,1,20,1,10,0,0,-
402,Jordie Benn,DAL,D,64,122.1,0,1,1,0,1,33.33,2,0.00,0,3,2,0,0,0,0,2,1,1,0,0,0,2,1,9,5,17,0,0,-
