id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
225,Sean Kuraly,CBJ,C,77,12.133333333333,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,19,42.42
226,Vincent Trocheck,CAR,C,81,226.46666666667,6,6,4,2,12,35.29,33,18.18,6.87,53,49,46,37,0,3,6,3,3,0,0,1,6,3,2,16,0,52,31,62.65
227,T.J. Tynan,L.A,C,2,4.3833333333333,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
228,Adam Lowry,WPG,C,79,71.066666666667,0,2,1,1,2,28.57,5,0.00,1.23,8,8,8,6,0,1,0,0,0,0,0,1,0,2,1,2,0,28,23,54.90
229,Nick Cousins,NSH,C,68,112.58333333333,3,1,1,0,4,50.00,14,21.43,2.26,24,20,20,14,0,3,2,1,1,0,0,0,3,1,2,7,0,5,5,50.00
230,Steven Fogarty,BOS,C,2,0.1,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
231,Blake Coleman,CGY,C,81,24.166666666667,0,0,0,0,0,-,2,0.00,0.81,5,4,4,4,0,1,0,0,0,0,0,0,1,1,1,4,0,0,1,0.00
232,Logan Shaw,OTT,R,17,0.7,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.00
233,Josh Leivo,CAR,L,7,0.016666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
234,Jean-Gabriel Pageau,NYI,C,77,155.93333333333,4,3,1,2,7,33.33,15,26.67,3.42,33,26,26,16,0,3,0,0,0,0,0,0,6,1,2,7,0,89,60,59.73
235,Mike Reilly,BOS,D,70,46.083333333333,0,2,0,2,2,66.67,9,0.00,0.49,15,11,3,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,-
236,Rocco Grimaldi,NSH,R,7,0.38333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
237,Scott Mayfield,NYI,D,61,3.7,0,0,0,0,0,-,1,0.00,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
