id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
19,Alex Ovechkin,WSH,L,77,0.61666666666667,1,0,0,0,1,100.00,1,100.00,0.09,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
20,Evgeni Malkin,PIT,C,41,0.36666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
21,Andrew Ladd,ARI,L,51,38.95,0,0,0,0,0,-,1,0.00,0.05,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,2,0,0,-
22,Blake Wheeler,WPG,R,65,20.5,0,0,0,0,0,-,1,0.00,0.18,1,1,1,1,1,0,2,1,1,0,0,0,0,1,0,0,1,1,2,33.33
23,Alexander Radulov,DAL,R,71,1.0166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
24,Blake Comeau,DAL,L,6,6.05,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,100.00
25,Alex Goligoski,MIN,D,72,77.7,0,0,0,0,0,0.00,4,0.00,0.26,4,4,1,1,0,0,2,1,1,0,0,1,1,0,2,1,13,0,0,-
26,Andrej Sekera,DAL,D,32,28.183333333333,0,0,0,0,0,-,1,0.00,0.09,2,1,1,1,0,0,0,0,0,0,0,1,1,0,2,2,2,0,0,-
27,Alexander Edler,L.A,D,41,74.7,0,1,0,1,1,25.00,3,0.00,0.08,3,3,1,0,0,0,0,0,0,0,0,1,3,1,3,3,11,0,0,-
28,Paul Stastny,WPG,C,71,92.216666666667,0,0,0,0,0,-,2,0.00,0.35,3,3,3,3,1,0,0,0,0,0,0,0,0,7,1,0,2,26,26,50.00
29,Sidney Crosby,PIT,C,69,7.25,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,55.56
30,Jack Johnson,COL,D,74,141.5,0,1,0,1,1,100.00,2,0.00,0,2,2,0,0,0,0,0,0,0,0,0,3,4,1,5,3,16,0,0,-
31,Anze Kopitar,L.A,C,81,133.63333333333,0,1,0,1,1,50.00,5,0.00,0.49,7,7,4,3,1,0,0,0,0,0,0,1,5,2,4,1,7,74,79,48.37
32,Marc Staal,DET,D,71,149.8,0,0,0,0,0,0.00,5,0.00,0.06,5,5,0,0,1,0,4,2,2,0,0,0,3,3,10,0,15,0,0,-
33,T.J. Oshie,WSH,R,44,14.566666666667,0,1,1,0,1,inf,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0.00
34,Andrew Cogliano,"COL, S.J",C,74,128.16666666667,1,1,1,0,2,100.00,8,12.50,0.62,8,8,6,3,0,0,2,1,1,0,0,4,3,5,2,2,6,1,3,25.00
35,Marc-Edouard Vlasic,S.J,D,75,62.083333333333,0,0,0,0,0,0.00,2,0.00,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11,0,0,-
36,Kris Letang,PIT,D,78,109.31666666667,0,0,0,0,0,0.00,2,0.00,0.09,3,3,0,0,0,0,0,0,0,0,0,1,5,4,10,1,10,0,0,-
37,Kris Russell,EDM,D,31,51.9,0,0,0,0,0,0.00,2,0.00,0.1,2,2,1,1,0,0,0,0,0,0,0,0,1,0,5,1,14,0,0,-
38,Keith Yandle,PHI,D,77,1.8,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
39,Darren Helm,COL,C,68,123.53333333333,1,1,1,0,2,50.00,14,7.14,0.8,17,14,10,2,2,0,0,0,0,0,0,1,1,8,4,0,12,40,51,43.96
40,Ryan Reaves,NYR,R,69,0.05,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
41,Anton Stralman,ARI,D,74,210.35,0,0,0,0,0,-,1,0.00,0.01,2,2,0,0,1,0,0,0,0,0,0,2,3,5,11,3,21,0,0,-
42,Patric Hornqvist,FLA,R,65,0.18333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
43,Andy Greene,NYI,D,69,113.48333333333,0,0,0,0,0,0.00,3,0.00,0.2,4,4,2,0,1,0,0,0,0,0,0,1,5,3,2,3,11,0,0,-
44,Alex Biega,TOR,D,2,0.65,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
45,Brad Marchand,BOS,L,70,112.08333333333,2,0,0,0,2,66.67,9,22.22,1.32,14,12,9,6,2,0,2,1,1,0,0,0,3,8,6,5,4,1,1,50.00
46,Nick Foligno,BOS,L,64,24.416666666667,0,0,0,0,0,-,2,0.00,0.14,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,3,40.00
47,Erik Johnson,COL,D,77,186.78333333333,1,1,0,1,2,66.67,9,11.11,0.37,13,10,6,2,0,0,2,1,1,0,0,0,4,6,33,3,31,0,0,-
48,Kyle Okposo,BUF,R,74,102.75,2,0,0,0,2,100.00,13,15.38,0.85,16,14,8,2,2,1,2,1,1,0,0,1,1,2,1,2,4,20,21,48.78
49,Trevor Lewis,CGY,C,80,131.86666666667,1,0,0,0,1,100.00,5,20.00,0.47,8,8,4,2,1,0,0,0,0,0,0,2,0,3,9,4,5,19,27,41.30
50,Milan Lucic,CGY,L,82,0.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
51,Cal Clutterbuck,NYI,R,59,113.43333333333,1,0,0,0,1,100.00,7,14.29,0.83,11,10,9,4,3,0,2,1,1,0,0,0,2,3,10,5,7,0,1,0.00
