id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
522,Ben Thomas,T.B,D,5,65.683333333333,0,0,0,0,0,0.00,3,0.00,0.07,7,4,1,0,0,0,0,0,0,0,0,0,1,1,3,19,3,0,0,-
523,Gustav Forsling,FLA,D,43,695,4,8,4,4,12,36.36,81,4.94,2.78,145,98,27,6,4,5,4,2,2,0,0,5,21,17,26,72,30,0,0,-
524,Clark Bishop,OTT,C,13,118.18333333333,0,3,3,0,3,42.86,16,0.00,1.43,25,20,19,11,3,1,2,1,1,0,0,2,6,3,23,21,7,36,33,52.17
525,Dakota Joshua,STL,C,12,104.13333333333,1,0,0,0,1,100.00,9,11.11,0.53,11,9,3,2,0,0,2,1,1,0,0,2,1,3,23,21,2,36,27,57.14
526,Oskar Lindblom,PHI,L,50,541,7,6,4,2,13,76.47,50,14.00,5.14,88,72,50,20,1,9,4,2,2,0,0,3,8,9,41,45,17,2,1,66.67
527,Daniel Walcott,T.B,L,1,9.8666666666667,0,0,0,0,0,-,1,0.00,0.12,1,1,1,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0.00
528,Anthony Angello,PIT,C,19,135.4,1,2,2,0,3,60.00,15,6.67,0.74,22,18,11,2,0,2,4,2,2,0,0,1,1,1,50,22,2,0,0,-
529,Anders Bjork,"BOS, BUF",L,45,532.53333333333,5,5,3,2,10,62.50,34,14.71,3.07,74,55,41,14,4,3,14,7,7,0,0,4,13,15,42,45,11,0,0,-
530,Kevin Labanc,S.J,R,55,749.73333333333,12,13,8,5,25,71.43,102,11.76,9.55,176,137,119,45,4,17,22,11,11,0,0,11,20,14,60,43,15,0,1,0.00
531,Sammy Blais,STL,L,36,427.23333333333,8,7,4,3,15,75.00,31,25.81,3.25,53,41,42,20,1,5,12,6,6,0,0,5,10,9,102,56,10,3,1,75.00
532,Dylan Sikura,VGK,C,6,61.466666666667,2,0,0,0,2,100.00,8,25.00,0.41,11,8,9,0,0,0,0,0,0,0,0,2,0,5,3,5,1,0,0,-
533,Victor Olofsson,BUF,L,56,754.36666666667,4,11,7,4,15,55.56,89,4.49,6.58,153,120,81,25,3,11,4,2,2,0,0,2,19,20,14,23,12,1,1,50.00
534,Pierre Engvall,TOR,L,42,467.56666666667,7,5,3,2,12,60.00,57,12.28,3.91,98,75,56,15,4,3,12,6,6,0,0,2,19,6,43,49,12,93,128,42.08
535,Ondrej Kase,BOS,R,3,22.533333333333,0,0,0,0,0,-,4,0.00,0.73,9,8,6,3,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,-
536,Jake Evans,MTL,C,47,452.35,2,8,5,3,10,66.67,47,4.26,2.99,76,62,44,15,0,4,13,5,4,1,0,12,13,9,75,70,23,160,151,51.45
537,Jacob Middleton,S.J,D,1,8.5666666666667,0,0,0,0,0,0.00,1,0.00,0.05,2,2,0,0,0,0,2,1,1,0,0,0,1,0,2,2,1,0,0,-
538,Matthew Highmore,"CHI, VAN",C,42,428.7,3,4,0,4,7,53.85,38,7.89,3.67,69,58,40,21,2,3,8,4,4,0,0,9,11,9,43,73,18,1,4,20.00
539,Dryden Hunt,ARI,L,26,303.05,3,5,3,2,8,100.00,39,7.69,3.63,65,53,38,18,1,5,2,1,1,0,0,4,6,3,94,43,5,4,9,30.77
540,Andrew Mangiapane,CGY,L,56,724.38333333333,15,11,11,0,26,83.87,77,19.48,8.72,136,107,101,51,6,8,14,7,7,0,0,8,15,29,48,45,23,1,14,6.67
541,Frank Vatrano,FLA,C,56,690.88333333333,12,5,3,2,17,68.00,134,8.96,9.12,201,168,99,32,3,4,18,9,9,0,0,8,17,21,68,70,21,3,15,16.67
542,Noah Hanifin,CGY,D,47,840.8,4,7,6,1,11,36.67,80,5.00,3.65,186,127,55,10,6,10,14,7,7,0,0,5,31,17,27,56,39,0,0,-
543,Rasmus Andersson,CGY,D,56,921.81666666667,2,11,6,5,13,32.50,56,3.57,2.47,128,95,26,6,2,2,26,12,12,0,0,8,29,14,42,56,57,0,0,-
544,Kyle Connor,WPG,L,56,811.88333333333,16,15,10,5,31,79.49,97,16.49,9.88,180,133,132,48,6,8,12,6,6,0,0,8,22,33,16,48,17,5,4,55.56
545,Jonas Siegenthaler,"N.J, WSH",D,15,199.95,0,0,0,0,0,0.00,7,0.00,0.33,29,18,2,0,0,1,4,2,2,0,0,1,10,3,19,16,12,0,0,-
546,Colin White,OTT,C,45,571.7,5,6,2,4,11,55.00,57,8.77,6.63,117,89,70,32,6,7,16,8,8,0,0,7,23,13,55,40,18,156,208,42.86
547,Pavel Zacha,N.J,C,50,605.26666666667,9,8,6,2,17,77.27,65,13.85,6.53,113,88,74,27,5,9,8,4,4,0,0,5,25,17,38,31,6,206,182,53.09
548,Connor McDavid,EDM,C,56,937.78333333333,19,37,28,9,56,87.50,129,14.73,13.74,205,170,146,69,4,15,14,7,7,0,0,22,33,31,58,77,22,298,313,48.77
549,Jack Eichel,BUF,C,21,327.25,1,7,3,4,8,80.00,38,2.63,2.94,62,52,34,13,0,6,6,3,3,0,0,5,6,3,20,22,13,143,156,47.83
550,Vince Dunn,STL,D,43,719.36666666667,4,6,2,4,10,47.62,61,6.56,2.89,139,79,37,7,1,6,16,8,8,0,0,2,24,7,35,48,47,0,0,-
551,Travis Dermott,TOR,D,51,636.71666666667,1,3,0,3,4,21.05,35,2.86,1.41,80,52,20,3,3,2,12,6,6,0,0,4,25,4,41,76,34,0,0,-
552,Jordan Greenway,MIN,L,56,758.05,5,23,13,10,28,77.78,71,7.04,5.96,124,96,66,31,2,11,28,14,14,0,0,14,17,16,83,61,21,12,11,52.17
553,Timo Meier,S.J,R,54,713.98333333333,10,10,6,4,20,68.97,121,8.26,9.83,240,175,130,51,10,13,20,10,10,0,0,10,17,17,72,56,22,7,15,31.82
554,Jakub Zboril,BOS,D,42,640.7,0,7,4,3,7,35.00,33,0.00,0.96,77,48,22,1,3,3,12,6,6,0,0,6,13,5,57,85,32,0,0,-
555,Erik Cernak,T.B,D,46,732.25,5,10,8,2,15,45.45,79,6.33,2.94,152,109,41,6,3,8,32,13,11,2,0,6,7,6,86,75,23,0,0,-
556,Mikko Rantanen,COL,R,52,784.75,18,17,9,8,35,67.31,107,16.82,10.55,199,152,118,51,3,14,18,9,9,0,0,13,14,26,22,60,17,28,24,53.85
557,A.J. Greer,N.J,L,1,8.55,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,7,2,1,1,0,0,0,0,0,1,0,0,0,-
558,Jansen Harkins,WPG,C,26,214.33333333333,0,1,1,0,1,33.33,14,0.00,1.14,27,19,12,4,1,1,2,1,1,0,0,2,2,1,11,11,3,11,7,61.11
559,Sebastian Aho,CAR,C,56,760.78333333333,11,16,10,6,27,72.97,87,12.64,8.81,151,125,100,52,2,6,20,10,10,0,0,10,44,20,30,41,18,318,289,52.39
560,Oliver Kylington,CGY,D,8,101.41666666667,0,1,1,0,1,33.33,7,0.00,0.28,16,12,5,0,1,0,0,0,0,0,0,0,4,2,3,4,1,0,0,-
561,Evgeny Svechnikov,DET,R,21,212.91666666667,2,4,3,1,6,85.71,16,12.50,1.83,26,22,19,9,0,4,8,4,4,0,0,0,9,2,19,22,6,1,2,33.33
562,Christian Fischer,ARI,R,52,537.26666666667,2,7,3,4,9,60.00,40,5.00,4.06,77,60,45,25,2,10,4,2,2,0,0,7,11,3,139,50,19,7,5,58.33
563,Keegan Kolesar,VGK,R,44,415.36666666667,3,10,4,6,13,68.42,46,6.52,5.47,76,66,52,25,4,7,28,8,4,4,0,5,7,9,107,67,14,61,73,45.52
564,David Kase,PHI,R,1,9.0833333333333,0,0,0,0,0,-,0,-,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,-
565,Travis Konecny,PHI,R,50,648.58333333333,7,14,6,8,21,80.77,78,8.97,6.96,151,117,75,27,4,14,16,8,8,0,0,12,10,16,51,57,13,5,6,45.45
566,Dylan Strome,CHI,C,40,478.56666666667,5,5,3,2,10,62.50,51,9.80,4.34,80,65,50,21,0,4,10,5,5,0,0,3,20,16,7,46,19,139,161,46.33
