id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
493,Shane Prince,NYI,"C, L",50,59.966666666667,1,2,1,1,3,100.00,8,12.50,0.85,15,9,12,4,0,1,2,1,1,0,0,1,2,0,0,6,0,2,2,50.00
494,Vincent Trocheck,FLA,C,82,210.53333333333,2,10,8,2,12,63.16,32,6.25,3.97,64,55,28,6,0,4,10,5,5,0,0,0,11,0,2,11,0,94,80,54.02
495,Joseph Cramarossa,"ANA, VAN",C,59,4.2,0,0,0,0,0,-,1,0.00,0.07,1,1,1,0,0,1,30,5,0,4,1,0,0,0,0,0,0,0,0,-
496,Adam Lowry,WPG,"C, L",82,140.33333333333,5,3,1,2,8,53.33,23,21.74,5.42,36,33,35,30,0,6,12,6,6,0,0,0,1,1,6,3,0,41,34,54.67
497,Nick Cousins,PHI,C,60,69.75,1,0,0,0,1,100.00,8,12.50,0.83,12,10,8,4,0,3,6,3,3,0,0,1,1,0,1,7,2,7,6,53.85
498,Blake Coleman,N.J,C,23,1.45,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.33
499,Logan Shaw,ANA,"C, R",55,2.45,0,0,0,0,0,-,1,0.00,0.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.00
500,Klas Dahlbeck,CAR,D,43,0.85,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
501,Andy Andreoff,L.A,"C, L",36,2.7666666666667,0,0,0,0,0,-,0,-,0.09,1,1,1,0,0,0,16,5,3,2,0,0,0,0,0,0,0,0,1,0.00
502,Nick Shore,L.A,C,70,20.25,0,0,0,0,0,-,2,0.00,0.29,4,3,3,2,0,1,0,0,0,0,0,0,0,0,0,3,0,7,9,43.75
503,Alan Quine,NYI,C,61,67,2,1,0,1,3,100.00,7,28.57,1.33,10,9,7,4,1,1,0,0,0,0,0,0,0,0,0,2,1,15,12,55.56
504,Josh Leivo,TOR,L,13,24.866666666667,1,2,1,1,3,100.00,6,16.67,1.27,10,10,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
505,Kyle Rau,FLA,C,24,4.35,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
506,Robbie Russo,DET,D,19,2.5166666666667,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-
507,Jean-Gabriel Pageau,OTT,C,82,26.9,0,0,0,0,0,-,5,0.00,0.59,5,5,5,2,0,2,4,2,2,0,0,0,0,0,0,2,0,7,4,63.64
508,Mike Reilly,MIN,D,17,20.466666666667,0,0,0,0,0,-,1,0.00,0.14,6,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-
509,Reid Boucher,"N.J, NSH, VAN",C,39,59.733333333333,1,0,0,0,1,20.00,12,8.33,1.36,23,17,10,6,0,2,0,0,0,0,0,0,2,1,0,2,1,0,0,-
510,Joseph LaBate,VAN,C,13,0.2,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,-
511,Ty Rattie,"CAR, STL",R,9,0.91666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
512,Scott Mayfield,NYI,D,25,0.31666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
513,Tomas Jurco,"CHI, DET",L,29,9.0333333333333,0,0,0,0,0,-,1,0.00,0.29,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-
514,Adam Clendening,NYR,D,31,44.416666666667,1,1,0,1,2,66.67,4,25.00,0.16,10,5,4,0,0,0,2,1,1,0,0,0,2,1,2,2,1,0,0,-
515,Boone Jenner,CBJ,C,82,91.566666666667,0,1,1,0,1,33.33,11,0.00,1.49,15,12,12,9,0,1,11,4,3,1,0,1,2,0,3,4,0,7,5,58.33
516,Dmitrij Jaskin,STL,R,51,19.733333333333,0,0,0,0,0,0.00,7,0.00,1.28,9,9,6,5,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,100.00
517,Victor Rask,CAR,C,82,167.78333333333,4,6,0,6,10,66.67,25,16.00,2.53,44,32,27,9,0,5,0,0,0,0,0,0,8,3,2,3,1,45,32,58.44
518,Brandon Saad,CBJ,L,82,127.25,1,2,2,0,3,50.00,18,5.56,1.66,31,23,18,5,0,2,4,2,2,0,0,0,4,1,0,3,1,0,1,0.00
519,Brett Ritchie,DAL,R,78,121.81666666667,1,1,1,0,2,40.00,15,6.67,2.35,31,21,27,12,0,2,7,2,1,1,0,0,4,0,3,2,0,1,0,100.00
520,Markus Granlund,VAN,C,69,132.13333333333,3,4,2,2,7,53.85,14,21.43,2.2,24,20,16,10,0,2,4,2,2,0,0,1,5,0,1,5,0,0,1,0.00
521,Joel Edmundson,STL,D,69,2.3833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,-
522,Matt Nieto,"COL, S.J",L,59,32.75,0,0,0,0,0,0.00,2,0.00,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,-
523,Xavier Ouellet,DET,D,66,6.1166666666667,0,0,0,0,0,-,1,0.00,0.11,2,2,0,0,0,0,9,3,2,1,0,1,0,0,0,0,0,0,0,-
524,Miikka Salomaki,NSH,R,5,0.18333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
525,William Karlsson,CBJ,C,81,17.083333333333,1,0,0,0,1,50.00,3,33.33,0.37,4,3,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1,6,5,54.55
526,Ryan Sproul,DET,D,27,54.066666666667,1,1,1,0,2,66.67,11,9.09,0.84,22,18,2,0,0,2,2,1,1,0,0,0,1,1,0,1,0,0,0,-
527,Nikita Kucherov,T.B,R,74,228.8,14,15,9,6,29,87.88,78,17.95,7.7,149,112,66,12,0,10,6,3,3,0,0,0,13,4,1,6,0,0,0,-
528,Ryan Nugent-Hopkins,EDM,C,82,149.38333333333,5,5,2,3,10,66.67,26,19.23,2.73,44,29,27,9,1,2,2,1,1,0,0,2,3,2,2,5,0,63,69,47.73
529,Gabriel Landeskog,COL,L,72,156.61666666667,5,1,1,0,6,54.55,21,23.81,3.11,32,28,20,13,0,3,4,2,2,0,0,0,5,4,1,7,0,13,8,61.90
530,Jonathan Huberdeau,FLA,"C, L",31,72.95,2,4,4,0,6,66.67,15,13.33,1.76,31,22,17,5,0,2,2,1,1,0,0,0,5,0,0,7,0,0,0,-
531,Adam Larsson,EDM,D,79,13.333333333333,0,0,0,0,0,-,0,-,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
532,Ryan Strome,NYI,"C, R",69,165.3,1,5,4,1,6,37.50,22,4.55,2.31,40,29,22,8,0,1,13,5,4,1,0,1,5,4,0,9,1,3,5,37.50
533,Mika Zibanejad,NYR,C,56,127.36666666667,4,7,3,4,11,64.71,28,14.29,3.67,57,46,24,8,0,7,2,1,1,0,0,0,9,1,0,4,1,57,34,62.64
534,Mark Scheifele,WPG,C,79,223.41666666667,4,8,1,7,12,63.16,34,11.76,4.02,59,43,40,10,1,2,8,4,4,0,0,3,7,5,0,10,0,86,110,43.88
535,Sean Couturier,PHI,C,66,117.28333333333,0,2,0,2,2,66.67,6,0.00,0.8,13,12,8,3,0,0,5,1,0,1,0,0,4,0,0,8,1,40,37,51.95
536,Dougie Hamilton,CGY,D,81,176.06666666667,2,12,5,7,14,60.87,37,5.41,2.79,77,55,22,4,0,6,6,3,3,0,0,1,6,2,4,2,2,0,0,-
537,Jonas Brodin,MIN,D,68,102.85,2,5,1,4,7,46.67,17,11.76,1.04,37,22,8,0,0,1,0,0,0,0,0,0,4,1,0,1,1,0,0,-
538,Ryan Murphy,CAR,D,27,10.65,0,0,0,0,0,-,2,0.00,0.04,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
539,Sven Baertschi,VAN,L,68,128.95,2,4,3,1,6,60.00,31,6.45,3.12,53,41,28,11,1,5,0,0,0,0,0,0,0,2,1,8,0,0,0,-
540,Jamie Oleksiak,DAL,D,41,4.0166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,14,4,2,2,0,0,0,0,0,0,0,0,0,-
541,J.T. Miller,NYR,"C, L",82,114.78333333333,1,5,3,2,6,66.67,10,10.00,1.8,25,19,15,6,0,0,7,2,1,1,0,1,6,2,2,4,0,22,25,46.81
542,Joel Armia,WPG,R,57,50.133333333333,0,2,1,1,2,50.00,5,0.00,0.94,16,8,11,5,0,1,2,1,1,0,0,0,1,1,1,2,0,0,2,0.00
543,Nathan Beaulieu,MTL,D,74,120.06666666667,2,10,6,4,12,70.59,23,8.70,1.63,42,30,10,4,0,2,9,3,2,1,0,0,2,3,0,9,2,0,0,-
544,Oscar Klefbom,EDM,D,82,193.13333333333,3,11,4,7,14,48.28,29,10.34,1.87,78,49,15,0,0,1,0,0,0,0,0,0,4,1,1,4,1,0,0,-
545,Connor Murphy,ARI,D,77,20.216666666667,0,0,0,0,0,-,1,0.00,0,3,1,0,0,0,0,4,2,2,0,0,0,2,0,1,2,0,0,0,-
546,Stefan Noesen,"ANA, N.J",R,44,8.0833333333333,0,0,0,0,0,0.00,2,0.00,0.47,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,100.00
547,Joe Morrow,BOS,D,17,1.5166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
548,Matt Puempel,"NYR, OTT",L,40,26.566666666667,3,0,0,0,3,100.00,4,75.00,0.72,8,7,6,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-
549,Phillip Danault,MTL,L,82,50.933333333333,0,2,0,2,2,40.00,1,0.00,0.31,4,3,2,1,0,1,7,2,1,1,0,0,0,1,2,3,0,21,20,51.22
550,Vladislav Namestnikov,T.B,C,74,151.48333333333,3,3,1,2,6,40.00,20,15.00,3.9,32,28,28,21,0,2,11,4,3,1,0,1,5,0,3,9,0,34,29,53.97
551,Nicklas Jensen,NYR,R,7,7.0833333333333,0,0,0,0,0,0.00,0,-,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
552,Rickard Rakell,ANA,"C, R",71,155.93333333333,4,7,5,2,11,68.75,33,12.12,4.95,55,46,36,18,0,6,0,0,0,0,0,1,4,0,5,9,1,5,5,50.00
553,Seth Griffith,"FLA, TOR",C,24,32.116666666667,0,1,1,0,1,25.00,2,0.00,0.96,10,9,9,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,50.00
554,Colin Miller,BOS,D,61,98.516666666667,1,1,0,1,2,40.00,10,10.00,0.78,30,16,9,0,1,1,5,1,0,1,0,1,2,3,1,3,0,0,0,-
555,Ben Thomson,N.J,L,3,0.033333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
556,Jonathan Marchessault,FLA,C,75,193.21666666667,7,10,4,6,17,85.00,49,14.29,5.25,76,66,38,8,0,9,8,4,4,0,0,2,6,1,4,9,0,31,45,40.79
557,Zack Mitchell,MIN,R,11,0.61666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
558,Barclay Goodrow,S.J,R,3,0.083333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
559,Brad Hunt,"NSH, STL",D,12,7.3666666666667,1,1,0,1,2,66.67,3,33.33,0.24,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-
560,Torey Krug,BOS,D,81,255.33333333333,5,17,9,8,22,61.11,51,9.80,3.74,101,70,26,4,1,9,16,5,3,2,0,1,10,1,2,10,7,0,0,-
561,Karl Stollery,N.J,D,11,28.016666666667,0,3,0,3,3,100.00,3,0.00,0.19,5,4,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-
562,J.T. Brown,T.B,R,64,3.9333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,7,2,1,1,0,2,0,0,0,1,0,1,0,100.00
563,Matt Tennyson,CAR,D,45,2.0333333333333,0,0,0,0,0,-,1,0.00,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
564,Brian Flynn,MTL,C,51,2.65,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.00
565,Luke Glendening,DET,C,74,5.7666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,5,2,71.43
566,Yanni Gourde,T.B,C,20,16.116666666667,0,0,0,0,0,-,2,0.00,0.39,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,27.27
567,Ryan Murray,CBJ,D,60,27.666666666667,0,1,1,0,1,100.00,1,0.00,0.06,4,1,1,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,-
568,Alex Galchenyuk,MTL,C,61,130.58333333333,4,6,4,2,10,76.92,18,22.22,2.87,36,30,18,9,1,2,6,3,3,0,0,1,4,1,0,7,0,35,46,43.21
569,Morgan Rielly,TOR,D,76,66.366666666667,0,3,2,1,3,60.00,12,0.00,1.11,29,22,6,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,-
570,Hampus Lindholm,ANA,D,66,120.38333333333,1,4,1,3,5,50.00,23,4.35,1.65,49,32,10,1,0,2,0,0,0,0,0,1,4,0,1,5,1,1,0,100.00
571,Nail Yakupov,STL,R,40,10.7,0,0,0,0,0,0.00,1,0.00,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
572,Matt Dumba,MIN,D,76,168.3,5,6,3,3,11,55.00,42,11.90,3.56,77,56,20,4,0,2,8,4,4,0,0,0,2,2,3,6,3,0,0,-
573,Pontus Aberg,NSH,L,15,4.7833333333333,0,0,0,0,0,-,0,-,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
574,Phillip Di Giuseppe,CAR,L,36,17,0,1,0,1,1,33.33,3,0.00,0.48,5,3,2,1,0,0,7,2,1,1,0,0,0,1,1,0,0,0,0,-
575,Brendan Gaunce,VAN,C,57,3.9333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,17,3,1,1,1,0,0,0,0,0,0,2,0,100.00
576,Brady Skjei,NYR,D,80,110.23333333333,0,6,0,6,6,46.15,13,0.00,0.96,28,18,8,1,0,3,4,2,2,0,0,0,5,1,2,1,3,0,0,-
577,Tanner Pearson,L.A,L,80,186.26666666667,3,4,3,1,7,29.17,28,10.71,6.29,53,43,41,31,0,5,5,1,0,1,0,1,1,1,5,9,0,1,0,100.00
578,Olli Maatta,PIT,D,55,8.5333333333333,0,0,0,0,0,0.00,1,0.00,0.07,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-
579,Michael Matheson,FLA,D,81,41.466666666667,0,1,1,0,1,25.00,5,0.00,0.46,11,8,4,1,0,1,0,0,0,0,0,1,3,0,0,1,1,0,0,-
580,Jordan Schmaltz,STL,D,9,10.8,0,1,1,0,1,50.00,1,0.00,0.05,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
581,Zemgus Girgensons,BUF,C,75,4.95,0,0,0,0,0,-,1,0.00,0.18,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,33.33
582,Cody Ceci,OTT,D,79,71.733333333333,0,1,0,1,1,25.00,12,0.00,1.13,26,17,10,1,1,1,2,1,1,0,0,0,4,1,1,2,0,0,0,-
583,Tom Wilson,WSH,R,82,3.8333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,29,10,7,3,0,0,0,0,0,0,0,1,0,100.00
