"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"89","Justin Abdelkader","DET","L","71","886.15","3","11","4","7","14","58.33","84","3.57","7.55","138","117","76","42","1","9","26","10","8","2","0","9","32","5","174","63","27","38","36","51.35"
"92","Kris Russell","EDM","D","72","1278.6833333333","3","11","4","7","14","28.00","56","5.36","2.58","134","84","35","6","1","6","18","9","9","0","0","6","62","17","81","133","146","0","0","-"
"103","Andy Greene","N.J","D","82","1320.2","3","11","6","5","14","28.57","85","3.53","4.12","181","130","45","11","2","9","12","6","6","0","0","5","34","31","52","74","142","0","0","-"
"122","Derick Brassard","COL, FLA, PIT","C","70","892.51666666667","9","5","3","2","14","58.33","82","10.98","6.9","145","107","76","41","6","7","35","12","10","1","1","6","22","32","100","69","15","245","258","48.71"
"247","Calvin de Haan","CAR","D","74","1180.5166666667","1","13","7","6","14","34.15","95","1.05","4.48","268","163","66","10","5","26","16","8","8","0","0","7","46","52","162","107","85","0","1","0.00"
"253","Brayden McNabb","VGK","D","81","1314.5833333333","3","11","7","4","14","22.95","74","4.05","2.63","172","104","42","6","1","12","38","19","19","0","0","6","34","30","185","97","99","0","0","-"
"309","Jon Merrill","VGK","D","57","924.38333333333","2","12","5","7","14","35.00","66","3.03","2.54","150","101","35","4","2","13","28","13","13","0","0","1","22","15","67","159","61","0","0","-"
"316","Derek Forbort","L.A","D","81","1458.6833333333","2","12","4","8","14","36.84","68","2.94","2.3","175","110","31","4","3","14","38","15","14","0","1","4","66","10","92","145","97","0","0","-"
"366","Josh Manson","ANA","D","74","1365.2833333333","3","11","9","2","14","31.82","91","3.30","3.5","177","117","50","10","5","4","50","22","20","2","0","4","61","22","151","85","65","0","0","-"
"526","MacKenzie Weegar","FLA","D","64","951.35","4","10","4","6","14","40.00","75","5.33","2.78","151","103","25","5","4","6","19","8","7","1","0","5","53","33","118","135","86","1","0","100.00"
"528","Will Butcher","N.J","D","78","1223.5333333333","3","11","2","9","14","26.92","82","3.66","3.82","163","121","41","10","2","11","8","4","4","0","0","1","29","15","35","67","66","0","0","-"
