id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assit,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
544,Cam Fowler,ANA,D,69,1134.9833333333,2,7,4,3,9,23.08,61,3.28,2.44,135,87,36,6,2,7,21,9,8,1,0,3,24,13,36,101,86,0,0,-
545,Vladimir Tarasenko,STL,R,80,1125.8,22,21,11,10,43,81.13,210,10.48,16.57,386,273,233,83,11,15,18,8,8,0,0,21,29,29,28,77,24,0,0,-
546,Austin Watson,NSH,L,57,513.91666666667,2,6,4,2,8,61.54,53,3.77,3.87,88,68,45,25,3,4,26,6,3,2,1,1,9,9,74,52,40,6,6,50.00
547,Jaden Schwartz,STL,L,33,438.01666666667,5,8,5,3,13,72.22,42,11.90,3.99,74,55,50,22,4,5,6,3,3,0,0,3,16,14,24,30,15,12,10,54.55
548,Quinton Howden,FLA,C,58,580.86666666667,5,5,3,2,10,62.50,52,9.62,3.9,78,67,43,24,1,2,14,7,7,0,0,8,6,9,116,79,10,3,3,50.00
549,Emerson Etem,"NYR, VAN",L,58,725.96666666667,6,8,6,2,14,58.33,93,6.45,8.3,172,127,107,53,4,5,9,3,2,1,0,8,20,19,86,102,38,2,1,66.67
550,Riley Sheahan,DET,C,81,936.85,9,10,5,5,19,65.52,104,8.65,9.26,170,137,99,43,3,6,12,6,6,0,0,4,18,17,66,86,21,276,329,45.62
551,Petter Granberg,NSH,D,27,352.21666666667,0,2,2,0,2,18.18,11,0.00,0.29,21,16,2,0,0,2,9,3,2,1,0,2,7,0,45,30,23,0,0,-
552,Tye McGinn,T.B,L,2,16.766666666667,0,0,0,0,0,-,1,0.00,0.04,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,-
553,Chris Wagner,"ANA, COL",C,43,365.18333333333,4,2,1,1,6,85.71,53,7.55,3.79,85,68,44,24,3,8,6,3,3,0,0,4,10,3,92,49,24,142,115,55.25
554,Morgan Ellis,MTL,D,3,24.866666666667,0,0,0,0,0,0.00,3,0.00,0.1,7,4,3,0,0,0,2,1,1,0,0,0,2,0,1,4,2,0,0,-
555,Jeff Skinner,CAR,L,82,1108.15,20,19,17,2,39,81.25,194,10.31,17.7,333,260,193,81,4,17,18,5,4,0,1,22,38,71,20,75,16,7,13,35.00
556,Zach Hyman,TOR,C,16,204.23333333333,3,0,0,0,3,50.00,32,9.38,3.25,60,50,35,17,1,2,14,3,2,0,1,6,2,6,29,45,5,1,2,33.33
557,Alexander Burmistrov,WPG,C,81,1044.5666666667,5,12,5,7,17,65.38,89,5.62,7.88,182,135,101,40,7,12,28,14,14,0,0,19,40,29,114,84,24,156,246,38.81
558,Erik Gudbranson,FLA,D,64,1016.8,2,6,2,4,8,22.22,66,3.03,1.92,140,97,24,1,2,6,32,13,11,2,0,9,17,10,128,133,46,0,0,-
559,Taylor Hall,EDM,L,82,1260.8166666667,18,30,24,6,48,82.76,215,8.37,19.64,356,280,214,102,14,18,30,15,15,0,0,17,58,60,74,156,50,10,20,33.33
560,Brett Connolly,BOS,R,71,840.4,5,13,8,5,18,48.65,83,6.02,7.93,147,118,92,39,6,11,14,7,7,0,0,8,19,11,134,68,33,7,13,35.00
561,Ryan Johansen,"CBJ, NSH",C,80,1094.2,10,24,13,11,34,73.91,121,8.26,9.93,198,157,110,58,8,8,39,18,17,1,0,13,29,35,107,56,28,504,468,51.85
562,Tyler Seguin,DAL,C,72,1072.8333333333,22,17,11,6,39,68.42,164,13.41,14.95,311,229,180,68,19,11,10,5,5,0,0,14,34,17,75,29,24,411,329,55.54
563,Dylan McIlrath,NYR,D,34,441.68333333333,2,2,1,1,4,23.53,27,7.41,0.91,68,45,9,2,3,1,37,17,16,1,0,4,12,9,91,50,30,0,0,-
