id,player_name,team,position,age,dob,birth_city,birth_state,birth_country,nationality,height,weight,draft_year,draft_team,draft_round,draft_round_pick,total_draft_pick
68,Malcolm Subban,VGK,G,26,1993-12-21,Toronto,-,CAN,-,74,215,2012,BOS,1,24,24
69,Andrei Vasilevskiy,T.B,G,25,1994-07-25,Tyumen,-,RUS,-,75,216,2012,T.B,1,19,19
70,Matt Murray,PIT,G,25,1994-05-25,Thunder Bay,-,CAN,-,76,178,2012,PIT,3,22,83
71,Jon Gillies,CGY,G,26,1994-01-22,Concord,-,USA,-,78,223,2012,CGY,3,14,75
72,Joonas Korpisalo,CBJ,G,25,1994-04-28,Pori,-,FIN,-,75,191,2012,CBJ,3,1,62
73,Connor Hellebuyck,WPG,G,26,1993-05-19,Commerce,-,USA,-,76,207,2012,WPG,5,9,130
74,Marek Langhamer,ARI,G,25,1994-07-22,Moravska Trebova,-,CZE,-,74,190,2012,PHX,7,3,184
75,Linus Ullmark,BUF,G,26,1993-07-31,Lugnvik,-,SWE,-,76,215,2012,BUF,6,12,163
76,Aaron Dell,S.J,G,30,1989-05-04,Airdrie,-,CAN,-,72,205,-,-,-,-,-
77,Andrew Hammond,COL,G,32,1988-02-11,Surrey,-,CAN,-,74,223,-,-,-,-,-
78,Jared Coreau,DET,G,28,1991-11-05,Perth,-,CAN,-,78,214,-,-,-,-,-
79,Mike Condon,OTT,G,29,1990-04-27,Holliston,-,USA,-,74,195,-,-,-,-,-
80,Antti Raanta,ARI,G,30,1989-05-12,Rauma,-,FIN,-,72,195,-,-,-,-,-
81,Juuse Saros,NSH,G,25,1995-04-19,Forssa,-,FIN,-,71,180,2013,NSH,4,8,99
82,Tristan Jarry,PIT,G,24,1995-04-29,Surrey,-,CAN,-,74,194,2013,PIT,2,14,44
83,Eric Comrie,WPG,G,24,1995-07-06,Edmonton,-,CAN,-,73,175,2013,WPG,2,29,59
84,Thatcher Demko,VAN,G,24,1995-12-08,San Diego,-,USA,-,76,192,2014,VAN,2,6,36
85,Brandon Halverson,NYR,G,24,1996-03-29,Traverse City,-,USA,-,76,210,2014,NYR,2,29,59
86,Adin Hill,ARI,G,23,1996-05-11,Comox,-,CAN,-,78,202,2015,ARI,3,15,76
87,Ken Appleby,N.J,G,25,1995-04-10,North Bay,-,CAN,-,76,210,-,-,-,-,-
88,Scott Foster,CHI,G,-,-,-,-,-,-,-,-,-,-,-,-,-
89,Casey DeSmith,PIT,G,28,1991-08-13,Rochester,-,USA,-,72,181,-,-,-,-,-
90,Charlie Lindgren,MTL,G,26,1993-12-18,Lakeville,-,USA,-,73,180,-,-,-,-,-
91,Alex Lyon,PHI,G,27,1992-12-09,Baudette,-,USA,-,73,201,-,-,-,-,-
92,David Rittich,CGY,G,27,1992-08-19,Jihlava,-,CZE,-,75,206,-,-,-,-,-
93,Dylan Ferguson,VGK,G,21,1998-09-20,Lantzville,-,CAN,-,73,189,2017,DAL,7,8,194
94,Alexandar Georgiev,NYR,G,24,1996-02-10,Moscow,-,RUS,-,73,178,-,-,-,-,-
95,Collin Delia,CHI,G,25,1994-06-20,Rancho Cucamonga,-,USA,-,74,208,-,-,-,-,-
