id,player_name,team,gp,toi,sa,sv,ga,sv_pcg,gaa,gsaa,xga,hdsa,hdsv,hdga,hdsv_pcg,hdgaa,hdgsaa,mdsa,mdsv,mdga,mdsv_pcg,mdgaa,mdgsaa,ldsa,ldsv,ldga,ldsv_pcg,ldgaa,ldgsaa,rush_attempts_against,rebound_attempts_against,avg_shot_dist,avg_goal_dist
68,Keith Kinkaid,N.J,23,990.38333333333,465,421,44,0.905,2.67,-9.09,32.3,100,75,25,0.750,1.51,-8.37,127,117,10,0.921,0.61,-0.25,228,219,9,0.961,0.55,-2.87,19,26,35.57,19.82
69,Jason Kasdorf,BUF,1,51.583333333333,26,23,3,0.885,3.49,-1.05,1.44,3,2,1,0.667,1.16,-0.50,4,3,1,0.750,1.16,-0.69,19,18,1,0.947,1.16,-0.49,3,0,41.35,29.00
70,Laurent Brossoit,EDM,5,233.08333333333,117,102,15,0.872,3.86,-6.22,10.34,35,29,6,0.829,1.54,-0.18,34,28,6,0.824,1.54,-3.39,46,43,3,0.935,0.77,-1.76,4,10,30.09,21.93
71,Anton Forsberg,CBJ,4,135.1,69,63,6,0.913,2.66,-0.82,6.32,25,22,3,0.880,1.33,1.16,17,17,0,1.000,0.00,1.30,26,23,3,0.885,1.33,-2.30,6,11,34.70,35.67
72,Garret Sparks,TOR,17,767.58333333333,365,328,37,0.899,2.89,-9.60,27.03,84,65,19,0.774,1.49,-5.03,91,77,14,0.846,1.09,-7.02,182,178,4,0.978,0.31,0.89,17,29,37.03,21.81
73,Jordan Binnington,STL,1,10.783333333333,4,3,1,0.750,5.56,-0.70,0.32,0,0,0,-,0.00,0.00,4,3,1,0.750,5.56,-0.69,0,0,0,-,0.00,0.00,0,0,22.50,27.00
74,Magnus Hellberg,NYR,1,18,5,4,1,0.800,3.33,-0.62,0.42,1,0,1,0.000,3.33,-0.83,2,2,0,1.000,0.00,0.15,2,2,0,1.000,0.00,0.05,1,0,40.20,18.00
75,John Gibson,ANA,40,1802.3833333333,765,705,60,0.922,2.00,-2.57,58.28,204,164,40,0.804,1.33,-6.07,205,190,15,0.927,0.50,0.73,322,317,5,0.984,0.17,3.65,50,76,34.84,18.52
76,Christopher Gibson,NYI,4,165.35,82,73,9,0.890,3.27,-2.84,5.55,14,11,3,0.786,1.09,-0.67,33,29,4,0.879,1.45,-1.47,28,26,2,0.929,0.73,-1.25,5,3,36.85,42.56
77,Andrei Vasilevskiy,T.B,24,962.05,469,434,35,0.925,2.18,0.21,31.12,103,90,13,0.874,0.81,4.13,129,118,11,0.915,0.69,-1.10,221,210,11,0.950,0.69,-5.06,21,28,38.03,29.89
78,Matt Murray,PIT,13,576.36666666667,260,243,17,0.935,1.77,2.52,17.85,71,62,9,0.873,0.94,2.81,61,58,3,0.951,0.31,1.68,110,105,5,0.955,0.52,-2.04,7,18,35.42,24.88
79,Chris Driedger,OTT,1,24.583333333333,7,7,0,1.000,0.00,0.53,0.58,2,2,0,1.000,0.00,0.33,2,2,0,1.000,0.00,0.15,3,3,0,1.000,0.00,0.08,1,0,25.14,-
80,Joonas Korpisalo,CBJ,31,1447.4666666667,772,721,51,0.934,2.11,6.95,62.37,211,180,31,0.853,1.29,4.09,166,155,11,0.934,0.46,1.74,370,362,8,0.978,0.33,1.94,27,82,36.03,20.55
81,Connor Hellebuyck,WPG,26,1124.7666666667,524,492,32,0.939,1.71,7.33,40.09,136,116,20,0.853,1.07,2.62,143,134,9,0.937,0.48,1.97,231,228,3,0.987,0.16,3.21,34,45,34.32,17.03
82,Linus Ullmark,BUF,20,954.15,477,440,37,0.922,2.33,-1.19,33.13,110,85,25,0.773,1.57,-6.70,129,121,8,0.938,0.50,1.90,221,217,4,0.982,0.25,1.94,27,33,36.69,19.05
83,Andrew Hammond,OTT,24,1104.4,555,522,33,0.941,1.79,8.66,41.35,133,116,17,0.872,0.92,5.12,154,144,10,0.935,0.54,1.82,252,246,6,0.976,0.33,0.77,18,54,35.02,21.09
84,Mike Condon,MTL,55,2487.8333333333,1149,1050,99,0.914,2.39,-12.75,86.26,320,261,59,0.816,1.42,-5.78,281,250,31,0.890,0.75,-9.43,510,501,9,0.982,0.22,4.70,53,113,34.40,19.41
85,Antti Raanta,NYR,25,956.71666666667,429,398,31,0.928,1.94,1.20,35.24,144,121,23,0.840,1.44,0.95,88,83,5,0.943,0.31,1.75,179,176,3,0.983,0.19,1.81,20,40,32.60,18.35
86,Kristers Gudlevskis,T.B,1,45.666666666667,22,22,0,1.000,0.00,1.65,1.46,5,5,0,1.000,0.00,0.83,4,4,0,1.000,0.00,0.31,13,13,0,1.000,0.00,0.35,0,0,38.59,-
87,Juuse Saros,NSH,1,45.783333333333,16,15,1,0.938,1.31,0.20,0.75,2,1,1,0.500,1.31,-0.67,8,8,0,1.000,0.00,0.61,4,4,0,1.000,0.00,0.11,0,2,43.94,9.00
88,Pheonix Copley,STL,1,20.433333333333,5,4,1,0.800,2.94,-0.62,0.21,1,1,0,1.000,0.00,0.17,1,0,1,0.000,2.94,-0.92,3,3,0,1.000,0.00,0.08,0,0,36.40,25.00
89,Roman Will,COL,1,10.733333333333,2,2,0,1.000,0.00,0.15,0.18,1,1,0,1.000,0.00,0.17,0,0,0,-,0.00,0.00,1,1,0,1.000,0.00,0.03,1,0,32.00,-
90,Matthew O'Connor,OTT,1,39.533333333333,28,26,2,0.929,3.04,0.10,1.62,7,7,0,1.000,0.00,1.16,5,4,1,0.800,1.52,-0.62,16,15,1,0.938,1.52,-0.57,1,1,36.86,29.50
91,Niklas Treutle,ARI,2,36.133333333333,9,8,1,0.889,1.66,-0.32,0.65,2,1,1,0.500,1.66,-0.67,1,1,0,1.000,0.00,0.08,5,5,0,1.000,0.00,0.13,1,1,42.89,9.00
92,Charlie Lindgren,MTL,1,56.2,24,22,2,0.917,2.14,-0.20,2.55,7,7,0,1.000,0.00,1.16,5,4,1,0.800,1.07,-0.62,11,10,1,0.909,1.07,-0.70,2,7,34.08,40.00
