Date,Visitor,G,Home,G,,Att.,LOG,Notes
2018-10-20,Boston Bruins,1,Vancouver Canucks,2,OT,17871,2:30,
2018-10-20,Anaheim Ducks,1,Vegas Golden Knights,3,,18375,2:33,
2018-10-20,Arizona Coyotes,3,Winnipeg Jets,5,,15321,2:33,
2018-10-21,Buffalo Sabres,4,Anaheim Ducks,2,,17174,2:24,
2018-10-21,Tampa Bay Lightning,6,Chicago Blackhawks,3,,21012,2:29,
2018-10-21,Calgary Flames,4,New York Rangers,1,,17404,2:29,
2018-10-22,Carolina Hurricanes,3,Detroit Red Wings,1,,19515,2:28,
2018-10-22,Colorado Avalanche,4,Philadelphia Flyers,1,,19326,2:30,
2018-10-22,Washington Capitals,5,Vancouver Canucks,2,,17227,2:25,
2018-10-22,St. Louis Blues,4,Winnipeg Jets,5,OT,15321,2:37,
2018-10-23,Arizona Coyotes,4,Columbus Blue Jackets,1,,11458,2:28,
2018-10-23,Anaheim Ducks,1,Chicago Blackhawks,3,,20900,2:31,
2018-10-23,Los Angeles Kings,2,Dallas Stars,4,,17354,2:39,
2018-10-23,Pittsburgh Penguins,6,Edmonton Oilers,5,OT,18347,2:42,
2018-10-23,Calgary Flames,2,Montreal Canadiens,3,,21028,2:30,
2018-10-23,San Jose Sharks,5,Nashville Predators,4,,17159,2:41,
2018-10-23,Florida Panthers,2,New York Rangers,5,,17016,2:33,
2018-10-23,Boston Bruins,4,Ottawa Senators,1,,15265,2:31,
2018-10-24,Tampa Bay Lightning,1,Colorado Avalanche,0,,16753,2:23,
2018-10-24,Florida Panthers,3,New York Islanders,2,OT,9743,2:40,
2018-10-24,Vancouver Canucks,3,Vegas Golden Knights,2,SO,18189,2:42,
2018-10-24,Toronto Maple Leafs,4,Winnipeg Jets,2,,15321,2:29,
2018-10-25,Vancouver Canucks,1,Arizona Coyotes,4,,12955,2:20,
2018-10-25,Philadelphia Flyers,0,Boston Bruins,3,,17565,2:32,
2018-10-25,Montreal Canadiens,3,Buffalo Sabres,4,,16112,2:35,
2018-10-25,Pittsburgh Penguins,9,Calgary Flames,1,,17834,2:31,
2018-10-25,New York Rangers,1,Chicago Blackhawks,4,,21280,2:36,
2018-10-25,Anaheim Ducks,2,Dallas Stars,5,,17134,2:34,
2018-10-25,Washington Capitals,1,Edmonton Oilers,4,,18347,2:29,
2018-10-25,Los Angeles Kings,1,Minnesota Wild,4,,18778,2:36,
2018-10-25,Nashville Predators,4,New Jersey Devils,3,OT,15164,2:44,
2018-10-25,Columbus Blue Jackets,7,St. Louis Blues,4,,17068,2:37,
2018-10-26,San Jose Sharks,3,Carolina Hurricanes,4,SO,12311,2:43,
2018-10-26,Ottawa Senators,3,Colorado Avalanche,6,,16851,2:32,
2018-10-26,Winnipeg Jets,2,Detroit Red Wings,1,,19515,2:27,
2018-10-26,Tampa Bay Lightning,3,Vegas Golden Knights,2,,18207,2:38,
2018-10-27,Tampa Bay Lightning,1,Arizona Coyotes,7,,13623,2:31,
2018-10-27,Montreal Canadiens,3,Boston Bruins,0,,17565,2:37,
2018-10-27,Buffalo Sabres,4,Columbus Blue Jackets,5,OT,15642,2:39,
2018-10-27,Washington Capitals,4,Calgary Flames,3,SO,17832,2:45,
2018-10-27,Colorado Avalanche,2,Minnesota Wild,3,,19093,2:35,
2018-10-27,Florida Panthers,2,New Jersey Devils,3,,15927,2:50,
2018-10-27,Edmonton Oilers,5,Nashville Predators,3,,17248,2:31,
2018-10-27,New York Islanders,6,Philadelphia Flyers,1,,19247,2:28,
2018-10-27,Chicago Blackhawks,3,St. Louis Blues,7,,17201,2:32,
2018-10-27,Winnipeg Jets,2,Toronto Maple Leafs,3,,19545,2:31,
2018-10-27,Pittsburgh Penguins,5,Vancouver Canucks,0,,17537,2:29,
2018-10-28,San Jose Sharks,4,Anaheim Ducks,3,OT,17099,2:36,
2018-10-28,New York Islanders,2,Carolina Hurricanes,1,,10367,2:30,
2018-10-28,Edmonton Oilers,2,Chicago Blackhawks,1,OT,20987,2:24,
2018-10-28,Dallas Stars,2,Detroit Red Wings,4,,19515,2:26,
2018-10-28,New York Rangers,3,Los Angeles Kings,4,,18230,2:41,
2018-10-28,Ottawa Senators,3,Vegas Golden Knights,4,OT,18089,2:40,
2018-10-29,Calgary Flames,3,Toronto Maple Leafs,1,,18989,2:31,
2018-10-29,Minnesota Wild,2,Vancouver Canucks,5,,16546,2:36,
2018-10-30,Philadelphia Flyers,3,Anaheim Ducks,2,,16450,2:28,
2018-10-30,Ottawa Senators,1,Arizona Coyotes,5,,13988,2:32,
2018-10-30,Calgary Flames,2,Buffalo Sabres,1,OT,15196,2:38,
2018-10-30,Boston Bruins,3,Carolina Hurricanes,2,,11357,2:37,
2018-10-30,Detroit Red Wings,5,Columbus Blue Jackets,3,,14288,2:30,
2018-10-30,Minnesota Wild,4,Edmonton Oilers,3,,18347,2:32,
2018-10-30,Dallas Stars,4,Montreal Canadiens,1,,20506,2:39,
2018-10-30,Vegas Golden Knights,1,Nashville Predators,4,,17367,2:30,
2018-10-30,New York Islanders,6,Pittsburgh Penguins,3,,18509,2:32,
2018-10-30,New York Rangers,4,San Jose Sharks,3,SO,17562,2:38,
2018-10-30,New Jersey Devils,3,Tampa Bay Lightning,8,,19092,2:37,
2018-10-31,Chicago Blackhawks,2,Vancouver Canucks,4,,16955,2:32,
2018-11-01,New York Rangers,3,Anaheim Ducks,2,SO,16101,3:14,
2018-11-01,Colorado Avalanche,5,Calgary Flames,6,,17317,2:39,
2018-11-01,New Jersey Devils,3,Detroit Red Wings,4,,18273,2:48,
2018-11-01,Chicago Blackhawks,0,Edmonton Oilers,4,,18347,2:26,
2018-11-01,Winnipeg Jets,4,Florida Panthers,2,,13490,2:37,
2018-11-01,Philadelphia Flyers,5,Los Angeles Kings,2,,18230,2:35,
2018-11-01,Washington Capitals,4,Montreal Canadiens,6,,20279,2:25,
2018-11-01,Pittsburgh Penguins,2,New York Islanders,3,SO,10910,2:42,
2018-11-01,Buffalo Sabres,2,Ottawa Senators,4,,12587,2:20,
2018-11-01,Columbus Blue Jackets,4,San Jose Sharks,1,,15879,2:32,
2018-11-01,Vegas Golden Knights,3,St. Louis Blues,5,,16813,2:32,
2018-11-01,Nashville Predators,4,Tampa Bay Lightning,1,,19092,2:30,
2018-11-01,Dallas Stars,2,Toronto Maple Leafs,1,,18878,2:27,
2018-11-02,Carolina Hurricanes,3,Arizona Coyotes,4,OT,10562,2:30,
2018-11-02,Colorado Avalanche,6,Vancouver Canucks,7,OT,18334,2:44,
2018-11-02,Florida Panthers,4,Winnipeg Jets,2,,13490,2:34,
2018-11-03,Ottawa Senators,2,Buffalo Sabres,9,,17881,2:27,
2018-11-03,Chicago Blackhawks,3,Calgary Flames,5,,18143,2:26,
2018-11-03,Edmonton Oilers,4,Detroit Red Wings,3,,19515,2:31,
2018-11-03,Columbus Blue Jackets,1,Los Angeles Kings,4,,18230,2:32,
2018-11-03,Tampa Bay Lightning,4,Montreal Canadiens,1,,21302,2:31,
2018-11-03,Boston Bruins,0,Nashville Predators,1,,17535,2:38,
2018-11-03,New Jersey Devils,0,New York Islanders,3,,11901,2:26,
2018-11-03,Toronto Maple Leafs,5,Pittsburgh Penguins,0,,18638,2:38,
2018-11-03,Philadelphia Flyers,3,San Jose Sharks,4,OT,17562,2:29,
2018-11-03,Minnesota Wild,5,St. Louis Blues,1,,17767,2:27,
2018-11-03,Carolina Hurricanes,0,Vegas Golden Knights,3,,18328,2:29,
2018-11-03,Dallas Stars,4,Washington Capitals,3,OT,18506,2:40,
2018-11-04,Columbus Blue Jackets,2,Anaheim Ducks,3,OT,16727,2:31,
2018-11-04,Buffalo Sabres,1,New York Rangers,3,,16904,2:26,
2018-11-04,Tampa Bay Lightning,4,Ottawa Senators,3,OT,11364,2:29,
2018-11-05,Philadelphia Flyers,5,Arizona Coyotes,2,,13719,2:28,
2018-11-05,Dallas Stars,1,Boston Bruins,2,OT,17565,2:34,
2018-11-05,Montreal Canadiens,4,New York Islanders,3,SO,9402,2:40,
2018-11-05,New Jersey Devils,5,Pittsburgh Penguins,1,,18420,2:38,
2018-11-05,Edmonton Oilers,2,Washington Capitals,4,,18506,2:30,
2018-11-06,Dallas Stars,1,Columbus Blue Jackets,4,,14159,2:24,
2018-11-06,Vancouver Canucks,2,Detroit Red Wings,3,SO,18640,2:47,
2018-11-06,Anaheim Ducks,1,Los Angeles Kings,4,,18230,2:41,
2018-11-06,Montreal Canadiens,3,New York Rangers,5,,17428,2:40,
2018-11-06,New Jersey Devils,3,Ottawa Senators,7,,12491,2:37,
2018-11-06,Minnesota Wild,3,San Jose Sharks,4,,15853,2:23,
2018-11-06,Carolina Hurricanes,1,St. Louis Blues,4,,16210,2:31,
2018-11-06,Edmonton Oilers,2,Tampa Bay Lightning,5,,19092,2:33,
2018-11-06,Vegas Golden Knights,1,Toronto Maple Leafs,3,,19045,2:34,
2018-11-07,Calgary Flames,2,Anaheim Ducks,3,,16461,2:23,
2018-11-07,Nashville Predators,4,Colorado Avalanche,1,,16923,2:44,
2018-11-07,Pittsburgh Penguins,1,Washington Capitals,2,,18506,2:33,
2018-11-08,Vancouver Canucks,8,Boston Bruins,5,,17565,2:38,
2018-11-08,Carolina Hurricanes,4,Chicago Blackhawks,3,,21331,2:20,
2018-11-08,San Jose Sharks,3,Dallas Stars,4,,18137,2:33,
2018-11-08,Edmonton Oilers,1,Florida Panthers,4,,11484,2:33,
2018-11-08,Minnesota Wild,3,Los Angeles Kings,1,,17621,2:29,
2018-11-08,Buffalo Sabres,6,Montreal Canadiens,5,OT,20488,2:40,
2018-11-08,Vegas Golden Knights,5,Ottawa Senators,3,,15213,2:37,
2018-11-08,Arizona Coyotes,4,Philadelphia Flyers,5,OT,18884,2:28,
2018-11-08,New York Islanders,2,Tampa Bay Lightning,4,,19092,2:30,
2018-11-09,Minnesota Wild,5,Anaheim Ducks,1,,16464,2:30,
2018-11-09,New York Rangers,2,Detroit Red Wings,3,OT,19515,2:38,
2018-11-09,San Jose Sharks,0,St. Louis Blues,4,,17032,2:21,
2018-11-09,New Jersey Devils,1,Toronto Maple Leafs,6,,19211,2:32,
2018-11-09,Colorado Avalanche,2,Winnipeg Jets,5,,15321,2:23,
2018-11-09,Columbus Blue Jackets,2,Washington Capitals,1,,18506,2:31,
2018-11-10,Toronto Maple Leafs,1,Boston Bruins,5,,17565,2:34,
2018-11-10,Vancouver Canucks,3,Buffalo Sabres,4,SO,17541,2:42,
2018-11-10,Detroit Red Wings,4,Carolina Hurricanes,3,SO,13029,2:42,
2018-11-10,New York Rangers,5,Columbus Blue Jackets,4,SO,18384,2:47,
2018-11-10,Nashville Predators,5,Dallas Stars,4,OT,18532,2:42,
2018-11-10,New York Islanders,2,Florida Panthers,4,,11947,2:28,
2018-11-10,Calgary Flames,1,Los Angeles Kings,0,,18230,2:32,
2018-11-10,Vegas Golden Knights,4,Montreal Canadiens,5,,21302,2:30,
2018-11-10,Chicago Blackhawks,0,Philadelphia Flyers,4,,19355,2:25,
2018-11-10,Arizona Coyotes,0,Pittsburgh Penguins,4,,18596,2:31,
2018-11-10,Ottawa Senators,6,Tampa Bay Lightning,4,,19092,2:35,
2018-11-11,Vegas Golden Knights,1,Boston Bruins,4,,17565,2:30,
2018-11-11,Colorado Avalanche,4,Edmonton Oilers,1,,18347,2:14,
2018-11-11,Ottawa Senators,1,Florida Panthers,5,,11192,2:35,
2018-11-11,Calgary Flames,1,San Jose Sharks,3,,17562,2:22,
2018-11-11,Minnesota Wild,3,St. Louis Blues,2,,16735,2:33,
2018-11-11,New Jersey Devils,2,Winnipeg Jets,5,,15321,2:30,
2018-11-11,Arizona Coyotes,4,Washington Capitals,1,,18506,2:27,
2018-11-12,Nashville Predators,1,Anaheim Ducks,2,SO,16629,3:04,
2018-11-12,Chicago Blackhawks,2,Carolina Hurricanes,3,OT,11221,2:28,
2018-11-12,Columbus Blue Jackets,2,Dallas Stars,1,,17543,2:32,
2018-11-12,Vancouver Canucks,1,New York Rangers,2,,17100,2:28,
2018-11-13,Tampa Bay Lightning,1,Buffalo Sabres,2,,15833,2:31,
2018-11-13,Arizona Coyotes,1,Detroit Red Wings,6,,18257,2:39,
2018-11-13,Montreal Canadiens,2,Edmonton Oilers,6,,18347,2:28,
2018-11-13,Toronto Maple Leafs,5,Los Angeles Kings,1,,17859,2:21,
2018-11-13,Washington Capitals,5,Minnesota Wild,2,,19101,2:33,
2018-11-13,Pittsburgh Penguins,2,New Jersey Devils,4,,15108,2:41,
2018-11-13,Vancouver Canucks,2,New York Islanders,5,,8806,2:26,
2018-11-13,Florida Panthers,2,Philadelphia Flyers,1,,19147,2:30,
2018-11-13,Nashville Predators,4,San Jose Sharks,5,,16654,2:33,
2018-11-14,St. Louis Blues,0,Chicago Blackhawks,1,,21401,2:19,
2018-11-14,Boston Bruins,3,Colorado Avalanche,6,,16124,2:20,
2018-11-14,Anaheim Ducks,0,Vegas Golden Knights,5,,18111,2:25,
2018-11-14,Washington Capitals,1,Winnipeg Jets,3,,15321,2:22,
2018-11-15,Nashville Predators,1,Arizona Coyotes,2,,13315,2:29,
2018-11-15,Florida Panthers,3,Columbus Blue Jackets,7,,14872,2:31,
2018-11-15,Montreal Canadiens,3,Calgary Flames,2,,18443,2:32,
2018-11-15,Vancouver Canucks,2,Minnesota Wild,6,,19014,2:35,
2018-11-15,New York Rangers,5,New York Islanders,7,,13472,2:40,
2018-11-15,Detroit Red Wings,1,Ottawa Senators,2,,13402,2:39,
2018-11-15,New Jersey Devils,3,Philadelphia Flyers,0,,18806,2:34,
2018-11-15,Tampa Bay Lightning,4,Pittsburgh Penguins,3,,18422,2:31,
2018-11-15,Toronto Maple Leafs,5,San Jose Sharks,3,,17011,2:27,
2018-11-16,Toronto Maple Leafs,2,Anaheim Ducks,1,OT,16666,2:34,
2018-11-16,Los Angeles Kings,2,Chicago Blackhawks,1,SO,21227,2:36,
2018-11-16,Washington Capitals,3,Colorado Avalanche,2,OT,18050,2:35,
2018-11-16,Boston Bruins,0,Dallas Stars,1,OT,18532,2:37,
2018-11-16,St. Louis Blues,4,Vegas Golden Knights,1,,18488,2:25,
2018-11-16,Buffalo Sabres,2,Winnipeg Jets,1,SO,15321,2:37,
2018-11-17,Boston Bruins,2,Arizona Coyotes,1,,16386,2:23,
2018-11-17,Columbus Blue Jackets,4,Carolina Hurricanes,1,,13040,2:25,
2018-11-17,Edmonton Oilers,2,Calgary Flames,4,,19289,2:45,
2018-11-17,Buffalo Sabres,3,Minnesota Wild,2,,18947,2:22,
2018-11-17,Detroit Red Wings,3,New Jersey Devils,2,OT,16514,2:37,
2018-11-17,Los Angeles Kings,3,Nashville Predators,5,,17627,2:34,
2018-11-17,Florida Panthers,2,New York Rangers,4,,18006,2:30,
2018-11-17,Pittsburgh Penguins,4,Ottawa Senators,6,,17692,2:28,
2018-11-17,Tampa Bay Lightning,6,Philadelphia Flyers,5,OT,19060,2:40,
2018-11-17,St. Louis Blues,0,San Jose Sharks,4,,17417,2:24,
2018-11-17,Montreal Canadiens,3,Vancouver Canucks,2,,17880,2:35,
2018-11-18,Colorado Avalanche,4,Anaheim Ducks,3,OT,16502,2:40,
2018-11-18,New Jersey Devils,1,Carolina Hurricanes,2,,11211,2:30,
2018-11-18,Minnesota Wild,1,Chicago Blackhawks,3,,21373,2:33,
2018-11-18,Vegas Golden Knights,6,Edmonton Oilers,3,,18347,2:31,
2018-11-18,Dallas Stars,6,New York Islanders,2,,10650,2:24,
2018-11-19,Vegas Golden Knights,2,Calgary Flames,7,,17635,2:23,
2018-11-19,Washington Capitals,5,Montreal Canadiens,4,OT,21911,2:52,
2018-11-19,Tampa Bay Lightning,2,Nashville Predators,3,,17419,2:29,
2018-11-19,Dallas Stars,1,New York Rangers,2,,17071,2:22,
2018-11-19,Florida Panthers,7,Ottawa Senators,5,,11570,2:41,
2018-11-19,Buffalo Sabres,5,Pittsburgh Penguins,4,OT,18618,2:37,
2018-11-19,Los Angeles Kings,2,St. Louis Blues,0,,16860,2:21,
2018-11-19,Columbus Blue Jackets,2,Toronto Maple Leafs,4,,19134,2:32,
2018-11-19,Winnipeg Jets,6,Vancouver Canucks,3,,17917,2:32,
2018-11-20,Edmonton Oilers,4,San Jose Sharks,3,OT,17562,2:30,
2018-11-21,Vancouver Canucks,3,Anaheim Ducks,4,,16091,2:32,
2018-11-21,Vegas Golden Knights,3,Arizona Coyotes,2,OT,14151,2:39,
2018-11-21,Philadelphia Flyers,2,Buffalo Sabres,5,,19070,2:26,
2018-11-21,Toronto Maple Leafs,2,Carolina Hurricanes,5,,12562,2:31,
2018-11-21,Winnipeg Jets,3,Calgary Flames,6,,17661,2:35,
2018-11-21,Boston Bruins,2,Detroit Red Wings,3,OT,19515,2:29,
2018-11-21,Colorado Avalanche,7,Los Angeles Kings,3,,17840,2:40,
2018-11-21,Ottawa Senators,4,Minnesota Wild,6,,19035,2:36,
2018-11-21,Montreal Canadiens,2,New Jersey Devils,5,,16514,2:24,
2018-11-21,St. Louis Blues,1,Nashville Predators,4,,17558,2:39,
2018-11-21,New York Islanders,0,New York Rangers,5,,17297,2:25,
2018-11-21,Dallas Stars,1,Pittsburgh Penguins,5,,18430,2:18,
2018-11-21,Florida Panthers,3,Tampa Bay Lightning,7,,19092,2:28,
2018-11-21,Chicago Blackhawks,2,Washington Capitals,4,,18506,2:30,
2018-11-23,Edmonton Oilers,1,Anaheim Ducks,2,OT,16497,2:23,
2018-11-23,Colorado Avalanche,5,Arizona Coyotes,1,,12029,2:30,
2018-11-23,Pittsburgh Penguins,1,Boston Bruins,2,OT,17565,2:41,
2018-11-23,Montreal Canadiens,2,Buffalo Sabres,3,OT,19070,2:37,
2018-11-23,Florida Panthers,1,Carolina Hurricanes,4,,13226,2:28,
2018-11-23,Toronto Maple Leafs,2,Columbus Blue Jackets,4,,18656,2:21,
2018-11-23,Ottawa Senators,4,Dallas Stars,6,,18532,2:40,
2018-11-23,Winnipeg Jets,2,Minnesota Wild,4,,19116,2:42,
2018-11-23,New York Islanders,4,New Jersey Devils,3,OT,16514,2:38,
2018-11-23,New York Rangers,0,Philadelphia Flyers,4,,19523,2:31,
2018-11-23,Vancouver Canucks,0,San Jose Sharks,4,,17056,2:21,
2018-11-23,Nashville Predators,2,St. Louis Blues,6,,16192,2:30,
2018-11-23,Chicago Blackhawks,2,Tampa Bay Lightning,4,,19092,2:20,
2018-11-23,Calgary Flames,0,Vegas Golden Knights,2,,18206,2:25,
2018-11-23,Detroit Red Wings,1,Washington Capitals,3,,18506,2:32,
2018-11-24,Dallas Stars,2,Colorado Avalanche,3,,18010,2:31,
2018-11-24,Buffalo Sabres,3,Detroit Red Wings,2,SO,19515,2:51,
2018-11-24,Chicago Blackhawks,5,Florida Panthers,4,OT,14283,2:37,
2018-11-24,Vancouver Canucks,4,Los Angeles Kings,2,,17725,2:23,
